Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	133	100	100	100	
	134	100	100	100	
	135	100	100	100	
	136	100	100	100	
	137	100	100	100	
	138	100	100	100	
	139	100	100	100	
	140	100	100	100	
	141	100	100	100	
	142	100	100	100	
	143	100	100	100	
	144	100	100	100	
	145	100	100	100	
	146	100	100	100	
	147	100	100	100	
	148	100	100	100	
	149	100	100	100	
	150	100	100	100	
	151	100	100	100	
	152	100	100	100	
	153	100	100	100	
	154	100	100	100	
	155	100	100	100	
	156	100	100	100	
	157	100	100	100	
	158	100	100	100	
	159	100	100	100	
	160	100	100	100	
	161	100	100	100	
	162	100	100	100	
	163	100	100	100	
	164	100	100	100	
	165	100	100	100	
	166	100	100	100	
	167	100	100	100	
	168	100	100	100	
	169	100	100	100	
	170	100	100	100	
	171	100	100	100	
	172	100	100	100	
	173	100	100	100	
	174	100	100	100	
	175	100	100	100	
	176	100	100	100	
	177	100	100	100	
	178	100	100	100	
	179	100	100	100	
	180	100	100	100	
	181	100	100	100	
	182	100	100	100	
	183	100	100	100	
	184	100	100	100	
	185	100	100	100	
	186	100	100	100	
	187	100	100	100	
	188	100	100	100	
	189	100	100	100	
	190	100	100	100	
	191	100	100	100	
	192	100	100	100	
	193	100	100	100	
	194	100	100	100	
	195	100	100	100	
	196	100	100	100	
	197	100	100	100	
	198	100	100	100	
	199	100	100	100	
	200	100	100	100	
	201	100	100	100	
	202	100	100	100	
	203	100	100	100	
	204	100	100	100	
	205	100	100	100	
	206	100	100	100	
	207	100	100	100	
	208	100	100	100	
	209	100	100	100	
	210	100	100	100	
	211	100	100	100	
	212	100	100	100	
	213	100	100	100	
	214	100	100	100	
	215	100	100	100	
	216	100	100	100	
	217	100	100	100	
	218	100	100	100	
	219	100	100	100	
	220	100	100	100	
	221	100	100	100	
	222	100	100	100	
	223	100	100	100	
	224	100	100	100	
	225	100	100	100	
	226	100	100	100	
	227	100	100	100	
	228	100	100	100	
	229	100	100	100	
	230	100	100	100	
	231	100	100	100	
	232	100	100	100	
	233	100	100	100	
	234	100	100	100	
	235	100	100	100	
	236	100	100	100	
	237	100.002	100.002	100	
	238	100.002	100.002	100	
	239	100	100	100	
	240	100	100	100	
	241	100	100	100	
	242	100	100	100	
	243	100	100	100	
	244	100	100	100	
	245	99.9983	99.9983	100	
	246	99.9983	99.9983	100	
	247	99.9983	99.9983	100	
	248	99.9551	99.9551	100	
	249	99.6889	99.6889	100	
	250	99.6595	99.6595	100	
	251	99.5575	99.5575	100	
	252	99.3035	99.3035	100	
	253	99.1825	99.1825	100	
	254	99.1686	99.1686	100	
	255	98.9716	98.9716	100	
	256	98.8039	98.8039	100	
	257	98.8731	98.8731	100	
	258	98.6882	98.6882	100	
	259	98.6605	98.6605	100	
	260	98.3286	98.3286	100	
	261	98.3667	98.3667	100	
	262	98.2111	98.2111	100	
	263	98.1852	98.1852	100	
	264	97.8862	97.8862	100	
	265	97.7928	97.7928	100	
	266	97.7133	97.7133	100	
	267	97.4955	97.4955	100	
	268	97.3866	97.3866	100	
	269	97.3624	97.3624	100	
	270	97.2777	97.2777	100	
	271	97.2057	97.2057	100	
	272	97.0916	97.0916	100	
	273	96.853	96.853	100	
	274	96.7977	96.7977	100	
	275	96.7078	96.7078	100	
	276	96.5678	96.5678	100	
	277	96.4745	96.4745	100	
	278	96.3051	96.3051	100	
	279	96.2464	96.2464	100	
	280	96.0874	96.0874	100	
	281	96.008	96.008	100	
	282	95.88	95.88	100	
	283	95.8058	95.8058	100	
	284	95.6157	95.6157	100	
	285	95.5293	95.5293	100	
	286	95.4324	95.4324	100	
	287	95.3304	95.3304	100	
	288	95.1075	95.1075	100	
	289	95.0487	95.0487	100	
	290	94.9035	94.9035	100	
	291	94.8777	94.8777	100	
	292	94.6288	94.6288	100	
	293	94.57	94.57	100	
	294	94.4145	94.4145	100	
	295	94.3764	94.3764	100	
	296	94.1724	94.1724	100	
	297	94.086	94.086	100	
	298	93.9771	93.9771	100	
	299	93.8525	93.8525	100	
	300	93.7662	93.7662	100	
	301	93.5846	93.5846	100	
	302	93.4896	93.4896	100	
	303	93.3565	93.3565	100	
	304	93.2597	93.2597	100	
	305	93.0869	93.0869	100	
	306	92.9813	92.9813	100	
	307	92.9021	92.9021	100	
	308	92.7655	92.7655	100	
	309	92.6219	92.6219	100	
	310	92.5495	92.5495	100	
	311	92.3714	92.3714	100	
	312	92.2281	92.2281	100	
	313	92.1138	92.1138	100	
	314	91.9616	91.9616	100	
	315	91.8753	91.8753	100	
	316	91.7473	91.7473	100	
	317	91.6454	91.6454	100	
	318	91.5591	91.5591	100	
	319	91.4379	91.4379	100	
	320	91.2894	91.2894	100	
	321	91.1977	91.1977	100	
	322	91.0232	91.0232	100	
	323	90.9351	90.9351	100	
	324	90.8123	90.8123	100	
	325	90.6897	90.6897	100	
	326	90.5789	90.5789	100	
	327	90.4528	90.4528	100	
	328	90.3284	90.3284	100	
	329	90.1624	90.1624	100	
	330	90.0882	90.0882	100	
	331	89.974	89.974	100	
	332	89.822	89.822	100	
	333	89.7216	89.7216	100	
	334	89.618	89.618	100	
	335	89.4885	89.4885	100	
	336	89.369	89.369	100	
	337	88.8489	88.8489	100	
	338	88.3198	88.3198	100	
	339	87.837	87.837	100	
	340	87.3074	87.3074	100	
	341	86.8096	86.8096	100	
	342	86.3055	86.3055	100	
	343	85.7927	85.7927	100	
	344	85.2619	85.2619	100	
	345	84.7541	84.7541	100	
	346	84.2206	84.2206	100	
	347	83.6288	83.6288	100	
	348	83.1414	83.1414	100	
	349	82.7215	82.7215	100	
	350	82.2501	82.2501	100	
	351	81.6114	81.6114	100	
	352	81.0888	81.0888	100	
	353	80.6092	80.6092	100	
	354	80.0763	80.0763	100	
	355	79.546	79.546	100	
	356	78.9692	78.9692	100	
	357	78.4139	78.4139	100	
	358	77.8998	77.8998	100	
	359	77.4253	77.4253	100	
	360	76.9001	76.9001	100	
	361	76.3206	76.3206	100	
	362	75.7515	75.7515	100	
	363	75.3654	75.3654	100	
	364	74.8104	74.8104	100	
	365	74.3209	74.3209	100	
	366	73.8101	73.8101	100	
	367	73.2859	73.2859	100	
	368	74.3508	74.3508	100	
	369	74.1156	74.1156	100	
	370	73.8149	73.8149	100	
	371	73.4271	73.4271	100	
	372	73.0134	73.0134	100	
	373	70.287	70.287	100	
	374	69.7599	69.7599	100	
	375	69.3584	69.3584	100	
	376	68.9361	68.9361	100	
	377	68.5533	68.5533	100	
	378	68.0963	68.0963	100	
	379	67.7101	67.7101	100	
	380	67.3168	67.3168	100	
	381	66.8605	66.8605	100	
	382	66.3464	66.3464	100	
	383	65.9078	65.9078	100	
	384	65.5123	65.5123	100	
	385	65.1835	65.1835	100	
	386	64.8612	64.8612	100	
	387	64.5647	64.5647	100	
	388	64.285	64.285	100	
	389	64.8871	64.8871	100	
	390	64.5554	64.5554	100	
	391	64.2162	64.2162	100	
	392	63.8377	63.8377	100	
	393	61.1905	61.1905	100	
	394	60.7254	60.7254	100	
	395	60.3867	60.3867	100	
	396	60.0687	60.0687	100	
	397	59.6256	59.6256	100	
	398	59.1953	59.1953	100	
	399	58.8123	58.8123	100	
	400	58.4816	58.4816	100	
	401	58.1109	58.1109	100	
	402	57.7196	57.7196	100	
	403	57.3252	57.3252	100	
	404	56.8496	56.8496	100	
	405	56.5118	56.5118	100	
	406	56.0875	56.0875	100	
	407	55.6523	55.6523	100	
	408	55.3062	55.3062	100	
	409	54.9879	54.9879	100	
	410	54.607	54.607	100	
	411	54.1642	54.1642	100	
	412	53.6077	53.6077	100	
	413	53.2405	53.2405	100	
	414	52.8461	52.8461	100	
	415	52.3947	52.3947	100	
