Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	215	100	100	100	
	216	100	100	100	
	217	100	100	100	
	218	100	100	100	
	219	100	100	100	
	220	100	100	100	
	221	100	100	100	
	222	100	100	100	
	223	100	100	100	
	224	100	100	100	
	225	100	100	100	
	226	100	100	100	
	227	100	100	100	
	228	100	100	100	
	229	100	100	100	
	230	100	100	100	
	231	100	100	100	
	232	100	100	100	
	233	100	100	100	
	234	100	100	100	
	235	100	100	100	
	236	100	100	100	
	237	100	100	100	
	238	100	100	100	
	239	100	100	100	
	240	100	100	100	
	241	100	100	100	
	242	100	100	100	
	243	100	100	100	
	244	100	100	100	
	245	100	100	100	
	246	100	100	100	
	247	100	100	100	
	248	100	100	100	
	249	100	100	100	
	250	100.53	100.53	100	
	251	100.91	100.91	100	
	252	101.523	101.523	100	
	253	101.828	101.828	100	
	254	102.487	102.487	100	
	255	102.76	102.76	100	
	256	103.394	103.394	100	
	257	103.713	103.713	100	
	258	104.293	104.293	100	
	259	104.637	104.637	100	
	260	105.182	105.182	100	
	261	105.555	105.555	100	
	262	106.114	106.114	100	
	263	106.476	106.476	100	
	264	107.035	107.035	100	
	265	107.436	107.436	100	
	266	107.974	107.974	100	
	267	108.418	108.418	100	
	268	108.931	108.931	100	
	269	109.361	109.361	100	
	270	109.862	109.862	100	
	271	110.274	110.274	100	
	272	110.776	110.776	100	
	273	111.228	111.228	100	
	274	111.704	111.704	100	
	275	112.235	112.235	100	
	276	112.683	112.683	100	
	277	113.195	113.195	100	
	278	113.683	113.683	100	
	279	114.045	114.045	100	
	280	114.539	114.539	100	
	281	114.926	114.926	100	
	282	115.399	115.399	100	
	283	115.74	115.74	100	
	284	116.22	116.22	100	
	285	116.542	116.542	100	
	286	117.008	117.008	100	
	287	117.363	117.363	100	
	288	117.768	117.768	100	
	289	118.338	118.338	100	
	290	118.689	118.689	100	
	291	119.231	119.231	100	
	292	119.488	119.488	100	
	293	120.001	120.001	100	
	294	120.614	120.614	100	
	295	121.044	121.044	100	
	296	121.366	121.366	100	
	297	121.757	121.757	100	
	298	122.216	122.216	100	
	299	122.871	122.871	100	
	300	123.399	123.399	100	
	301	124.007	124.007	100	
	302	124.728	124.728	100	
	303	125.452	125.452	100	
	304	126.014	126.014	100	
	305	126.681	126.681	100	
	306	127.433	127.433	100	
	307	127.842	127.842	100	
	308	128.437	128.437	100	
	309	129.225	129.225	100	
	310	129.777	129.777	100	
	311	130.472	130.472	100	
	312	131.311	131.311	100	
	313	131.917	131.917	100	
	314	132.458	132.458	100	
	315	132.665	132.665	100	
	316	133.336	133.336	100	
	317	133.802	133.802	100	
	318	134.321	134.321	100	
	319	134.92	134.92	100	
	320	134.823	134.823	100	
	321	135.296	135.296	100	
	322	135.393	135.393	100	
	323	135.848	135.848	100	
	324	136.604	136.604	100	
	325	137.26	137.26	100	
	326	137.819	137.819	100	
	327	138.446	138.446	100	
	328	139.178	139.178	100	
	329	139.668	139.668	100	
	330	140.181	140.181	100	
	331	140.801	140.801	100	
	332	141.543	141.543	100	
	333	141.94	141.94	100	
	334	142.65	142.65	100	
	335	143.127	143.127	100	
	336	143.675	143.675	100	
	337	144.407	144.407	100	
	338	144.814	144.814	100	
	339	145.381	145.381	100	
	340	146.098	146.098	100	
	341	146.481	146.481	100	
	342	147.108	147.108	100	
	343	147.832	147.832	100	
	344	148.208	148.208	100	
	345	148.886	148.886	100	
	346	149.581	149.581	100	
	347	149.91	149.91	100	
	348	150.631	150.631	100	
	349	151.075	151.075	100	
	350	151.66	151.66	100	
	351	152.423	152.423	100	
	352	152.799	152.799	100	
	353	153.444	153.444	100	
	354	154.236	154.236	100	
	355	154.53	154.53	100	
	356	155.232	155.232	100	
	357	155.608	155.608	100	
	358	156.282	156.282	100	
	359	157.089	157.089	100	
	360	157.321	157.321	100	
	361	157.888	157.888	100	
	362	158.217	158.217	100	
	363	159.049	159.049	100	
	364	159.608	159.608	100	
	365	160.106	160.106	100	
	366	160.748	160.748	100	
	367	161.271	161.271	100	
	368	161.299	161.299	100	
	369	161.346	161.346	100	
	370	161.428	161.428	100	
	371	161.561	161.561	100	
	372	161.708	161.708	100	
	373	161.755	161.755	100	
	374	161.805	161.805	100	
	375	161.59	161.59	100	
	376	161.396	161.396	100	
	377	161.335	161.335	100	
	378	161.346	161.346	100	
	379	161.403	161.403	100	
	380	161.436	161.436	100	
	381	161.471	161.471	100	
	382	161.514	161.514	100	
	383	161.554	161.554	100	
	384	161.59	161.59	100	
	385	161.593	161.593	100	
	386	161.597	161.597	100	
	387	161.633	161.633	100	
	388	161.676	161.676	100	
	389	161.697	161.697	100	
	390	161.722	161.722	100	
	391	161.733	161.733	100	
	392	161.744	161.744	100	
	393	161.826	161.826	100	
	394	161.916	161.916	100	
	395	161.901	161.901	100	
	396	161.934	161.934	100	
	397	161.898	161.898	100	
	398	161.944	161.944	100	
	399	161.97	161.97	100	
	400	161.923	161.923	100	
	401	161.841	161.841	100	
	402	161.808	161.808	100	
	403	161.819	161.819	100	
	404	161.808	161.808	100	
	405	161.812	161.812	100	
	406	161.762	161.762	100	
	407	161.755	161.755	100	
	408	161.783	161.783	100	
	409	161.826	161.826	100	
	410	161.887	161.887	100	
	411	161.962	161.962	100	
	412	162.009	162.009	100	
	413	162.045	162.045	100	
	414	162.063	162.063	100	
	415	162.106	162.106	100	
	416	162.109	162.109	100	
	417	162.109	162.109	100	
	418	162.109	162.109	100	
	419	162.138	162.138	100	
	420	162.156	162.156	100	
	421	162.185	162.185	100	
	422	162.221	162.221	100	
	423	162.256	162.256	100	
	424	162.31	162.31	100	
	425	162.367	162.367	100	
	426	162.453	162.453	100	
	427	162.521	162.521	100	
	428	162.554	162.554	100	
	429	162.575	162.575	100	
	430	162.519	162.519	100	
	431	162.468	162.468	100	
	432	162.443	162.443	100	
	433	162.289	162.289	100	
	434	162.246	162.246	100	
	435	162.26	162.26	100	
	436	162.342	162.342	100	
	437	162.59	162.59	100	
	438	162.346	162.346	100	
	439	162.618	162.618	100	
	440	162.719	162.719	100	
	441	162.611	162.611	100	
	442	162.511	162.511	100	
	443	162.73	162.73	100	
	444	162.873	162.873	100	
	445	162.977	162.977	100	
	446	162.82	162.82	100	
	447	162.794	162.794	100	
	448	162.684	162.684	100	
	449	162.598	162.598	100	
	450	162.662	162.662	100	
	451	162.748	162.748	100	
	452	162.962	162.962	100	
	453	162.985	162.985	100	
	454	163.002	163.002	100	
	455	163.013	163.013	100	
	456	163.027	163.027	100	
	457	163.027	163.027	100	
	458	163.059	163.059	100	
	459	163.095	163.095	100	
	460	163.135	163.135	100	
	461	163.181	163.181	100	
	462	163.235	163.235	100	
	463	163.36	163.36	100	
	464	163.414	163.414	100	
	465	163.432	163.432	100	
	466	163.425	163.425	100	
	467	163.447	163.447	100	
	468	163.443	163.443	100	
	469	163.443	163.443	100	
	470	163.457	163.457	100	
	471	163.507	163.507	100	
	472	163.547	163.547	100	
	473	163.579	163.579	100	
	474	163.529	163.529	100	
	475	163.45	163.45	100	
	476	163.443	163.443	100	
	477	163.511	163.511	100	
	478	163.54	163.54	100	
	479	163.59	163.59	100	
	480	163.598	163.598	100	
	481	163.583	163.583	100	
	482	163.536	163.536	100	
	483	163.518	163.518	100	
	484	163.514	163.514	100	
	485	163.707	163.707	100	
	486	164.193	164.193	100	
	487	164.683	164.683	100	
	488	164.667	164.667	100	
	489	164.634	164.634	100	
	490	164.227	164.227	100	
	491	164.099	164.099	100	
	492	164.364	164.364	100	
	493	164.4	164.4	100	
	494	164.4	164.4	100	
	495	164.407	164.407	100	
	496	164.407	164.407	100	
	497	164.41	164.41	100	
	498	164.418	164.418	100	
	499	164.428	164.428	100	
	500	164.435	164.435	100	
	501	164.442	164.442	100	
	502	164.45	164.45	100	
	503	164.449	164.449	100	
	504	164.475	164.475	100	
	505	164.496	164.496	100	
	506	164.496	164.496	100	
	507	164.532	164.532	100	
	508	164.521	164.521	100	
	509	164.55	164.55	100	
	510	164.55	164.55	100	
	511	164.564	164.564	100	
	512	164.593	164.593	100	
	513	164.589	164.589	100	
	514	164.629	164.629	100	
	515	164.636	164.636	100	
	516	164.675	164.675	100	
	517	164.693	164.693	100	
	518	164.718	164.718	100	
	519	164.758	164.758	100	
	520	164.786	164.786	100	
	521	164.804	164.804	100	
	522	164.829	164.829	100	
	523	164.851	164.851	100	
	524	164.897	164.897	100	
	525	164.933	164.933	100	
	526	164.93	164.93	100	
	527	164.937	164.937	100	
	528	164.941	164.941	100	
	529	164.916	164.916	100	
	530	164.869	164.869	100	
	531	164.93	164.93	100	
	532	165.091	165.091	100	
	533	165.177	165.177	100	
	534	165.156	165.156	100	
	535	165.062	165.062	100	
	536	165.073	165.073	100	
	537	165.07	165.07	100	
	538	165.217	165.217	100	
	539	165.295	165.295	100	
	540	165.271	165.271	100	
	541	165.227	165.227	100	
	542	165.113	165.113	100	
