Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	280	100	100	100	
	281	101.355	101.355	100	
	282	101.631	101.631	100	
	283	102.31	102.31	100	
	284	103.962	103.962	100	
	285	104.388	104.388	100	
	286	105.014	105.014	100	
	287	105.681	105.681	100	
	288	104.986	104.986	100	
	289	99.934	99.934	100	
	290	99.1197	99.1197	100	
	291	96.8848	96.8848	100	
	292	97.8579	97.8579	100	
	293	98.7073	98.7073	100	
	294	99.2673	99.2673	100	
	295	100.838	100.838	100	
	296	102.497	102.497	100	
	297	117.033	117.033	100	
	298	118.387	118.387	100	
	299	119.223	119.223	100	
	300	120.468	120.468	100	
	301	122.203	122.203	100	
	302	122.548	122.548	100	
	303	123.815	123.815	100	
	304	125.542	125.542	100	
	305	126.835	126.835	100	
	306	127.816	127.816	100	
	307	129.104	129.104	100	
	308	130.919	130.919	100	
	309	134.3	134.3	100	
	310	136.354	136.354	100	
	311	138.478	138.478	100	
	312	139.915	139.915	100	
	313	141.268	141.268	100	
	314	142.605	142.605	100	
	315	144.288	144.288	100	
	316	146.455	146.455	100	
	317	148.631	148.631	100	
	318	150.909	150.909	100	
	319	138.668	138.668	100	
	320	139.769	139.769	100	
	321	140.707	140.707	100	
	322	141.866	141.866	100	
	323	143.017	143.017	100	
	324	144.48	144.48	100	
	325	146.079	146.079	100	
	326	147.878	147.878	100	
	327	149.831	149.831	100	
	328	151.511	151.511	100	
	329	152.862	152.862	100	
	330	154.033	154.033	100	
	331	154.896	154.896	100	
	332	155.85	155.85	100	
	333	156.963	156.963	100	
	334	157.993	157.993	100	
	335	158.79	158.79	100	
	336	154.792	154.792	100	
	337	156.064	156.064	100	
	338	157.64	157.64	100	
	339	159.52	159.52	100	
	340	159.596	159.596	100	
	341	161.146	161.146	100	
	342	162.529	162.529	100	
	343	163.89	163.89	100	
	344	165.113	165.113	100	
	345	164.516	164.516	100	
	346	165.004	165.004	100	
	347	165.484	165.484	100	
	348	166.468	166.468	100	
	349	166.77	166.77	100	
	350	168.255	168.255	100	
	351	174.75	174.75	100	
	352	178.032	178.032	100	
	353	179.682	179.682	100	
	354	177.649	177.649	100	
	355	172.592	172.592	100	
	356	173.455	173.455	100	
	357	174.443	174.443	100	
	358	175.338	175.338	100	
	359	176.027	176.027	100	
	360	176.495	176.495	100	
	361	176.982	176.982	100	
	362	181.746	181.746	100	
	363	179.153	179.153	100	
	364	179.815	179.815	100	
	365	180.768	180.768	100	
	366	181.598	181.598	100	
	367	182.219	182.219	100	
	368	183.04	183.04	100	
	369	184.454	184.454	100	
	370	185.281	185.281	100	
	371	186.016	186.016	100	
	372	185.499	185.499	100	
	373	186.723	186.723	100	
	374	186.66	186.66	100	
	375	186.699	186.699	100	
	376	184.756	184.756	100	
	377	184.303	184.303	100	
	378	186.674	186.674	100	
	379	186.636	186.636	100	
	380	185.924	185.924	100	
	381	187.648	187.648	100	
	382	187.915	187.915	100	
	383	188.22	188.22	100	
	384	189.926	189.926	100	
	385	190.002	190.002	100	
	386	194.7	194.7	100	
	387	193.973	193.973	100	
	388	194.145	194.145	100	
	389	189.025	189.025	100	
	390	189.173	189.173	100	
	391	189.472	189.472	100	
	392	189.837	189.837	100	
	393	189.935	189.935	100	
	394	190.947	190.947	100	
	395	193.206	193.206	100	
	396	192.283	192.283	100	
	397	192.792	192.792	100	
	398	189.507	189.507	100	
	399	189.457	189.457	100	
	400	189.433	189.433	100	
	401	189.433	189.433	100	
	402	189.317	189.317	100	
	403	189.21	189.21	100	
	404	189.128	189.128	100	
	405	189.071	189.071	100	
	406	189.162	189.162	100	
	407	189.294	189.294	100	
	408	189.177	189.177	100	
	409	188.922	188.922	100	
	410	188.605	188.605	100	
	411	188.648	188.648	100	
	412	188.822	188.822	100	
	413	189.096	189.096	100	
	414	189.02	189.02	100	
	415	188.679	188.679	100	
	416	188.338	188.338	100	
	417	188.378	188.378	100	
	418	188.679	188.679	100	
	419	188.897	188.897	100	
	420	188.657	188.657	100	
	421	188.102	188.102	100	
	422	187.912	187.912	100	
	423	188.246	188.246	100	
	424	188.711	188.711	100	
	425	188.857	188.857	100	
	426	188.549	188.549	100	
	427	187.941	187.941	100	
	428	187.734	187.734	100	
	429	187.801	187.801	100	
	430	188.375	188.375	100	
	431	188.739	188.739	100	
	432	188.663	188.663	100	
	433	188.235	188.235	100	
	434	187.823	187.823	100	
	435	187.619	187.619	100	
	436	187.444	187.444	100	
	437	187.319	187.319	100	
	438	187.401	187.401	100	
	439	187.575	187.575	100	
	440	188.04	188.04	100	
	441	188.05	188.05	100	
	442	188.035	188.035	100	
	443	188.004	188.004	100	
	444	187.996	187.996	100	
	445	187.95	187.95	100	
	446	187.928	187.928	100	
	447	187.937	187.937	100	
	448	187.894	187.894	100	
	449	187.811	187.811	100	
	450	186.936	186.936	100	
	451	186.638	186.638	100	
	452	186.545	186.545	100	
	453	186.628	186.628	100	
	454	185.617	185.617	100	
	455	185.839	185.839	100	
	456	186.062	186.062	100	
	457	185.354	185.354	100	
	458	185.365	185.365	100	
	459	184.858	184.858	100	
	460	184.625	184.625	100	
	461	184.748	184.748	100	
	462	183.734	183.734	100	
	463	184.158	184.158	100	
	464	184.048	184.048	100	
	465	183.617	183.617	100	
	466	183.851	183.851	100	
	467	184.164	184.164	100	
	468	184.782	184.782	100	
	469	185.645	185.645	100	
	470	185.272	185.272	100	
	471	184.945	184.945	100	
	472	185.542	185.542	100	
	473	184.942	184.942	100	
	474	184.517	184.517	100	
	475	187.621	187.621	100	
	476	188.226	188.226	100	
	477	188.981	188.981	100	
	478	189.237	189.237	100	
	479	190.155	190.155	100	
	480	181.787	181.787	100	
	481	181.828	181.828	100	
	482	181.502	181.502	100	
	483	183.102	183.102	100	
	484	182.498	182.498	100	
	485	182.281	182.281	100	
	486	179.792	179.792	100	
	487	178.717	178.717	100	
	488	178.777	178.777	100	
	489	178.389	178.389	100	
	490	175.224	175.224	100	
	491	174.951	174.951	100	
	492	174.19	174.19	100	
	493	174.734	174.734	100	
	494	174.143	174.143	100	
	495	173.745	173.745	100	
	496	173.82	173.82	100	
	497	173.538	173.538	100	
	498	172.956	172.956	100	
	499	172.673	172.673	100	
	500	172.016	172.016	100	
	501	171.571	171.571	100	
	502	171.502	171.502	100	
	503	171.586	171.586	100	
	504	171.332	171.332	100	
	505	170.864	170.864	100	
	506	170.483	170.483	100	
	507	170.131	170.131	100	
	508	169.776	169.776	100	
	509	169.248	169.248	100	
	510	168.982	168.982	100	
	511	168.758	168.758	100	
	512	168.442	168.442	100	
	513	168.234	168.234	100	
	514	168.01	168.01	100	
	515	167.886	167.886	100	
	516	167.688	167.688	100	
	517	167.584	167.584	100	
	518	167.365	167.365	100	
	519	167.22	167.22	100	
	520	166.884	166.884	100	
	521	166.701	166.701	100	
	522	168.666	168.666	100	
	523	170.687	170.687	100	
	524	171.944	171.944	100	
	525	173.178	173.178	100	
	526	174.746	174.746	100	
	527	177.136	177.136	100	
	528	178.856	178.856	100	
	529	181.173	181.173	100	
	530	183.417	183.417	100	
	531	188.86	188.86	100	
	532	191.237	191.237	100	
	533	192.597	192.597	100	
	534	188.007	188.007	100	
	535	190.226	190.226	100	
	536	191.707	191.707	100	
	537	192.862	192.862	100	
	538	194.032	194.032	100	
	539	195.969	195.969	100	
	540	197.864	197.864	100	
	541	199.459	199.459	100	
	542	200.689	200.689	100	
	543	202.567	202.567	100	
	544	203.939	203.939	100	
	545	205.652	205.652	100	
	546	206.823	206.823	100	
	547	207.962	207.962	100	
	548	209.474	209.474	100	
	549	211.244	211.244	100	
	550	212.566	212.566	100	
	551	213.938	213.938	100	
	552	215.218	215.218	100	
	553	216.904	216.904	100	
	554	218.601	218.601	100	
	555	220.195	220.195	100	
	556	221.849	221.849	100	
	557	222.631	222.631	100	
	558	223.736	223.736	100	
	559	225.108	225.108	100	
	560	226.745	226.745	100	
	561	228.134	228.134	100	
	562	230.24	230.24	100	
	563	228.238	228.238	100	
	564	228.861	228.861	100	
	565	228.282	228.282	100	
	566	226.423	226.423	100	
	567	227.506	227.506	100	
	568	226.827	226.827	100	
	569	226.372	226.372	100	
	570	226.155	226.155	100	
	571	225.482	225.482	100	
	572	225.233	225.233	100	
	573	225.158	225.158	100	
	574	224.676	224.676	100	
	575	224.078	224.078	100	
	576	223.837	223.837	100	
	577	223.697	223.697	100	
	578	223.006	223.006	100	
	579	222.508	222.508	100	
	580	222.335	222.335	100	
	581	222.002	222.002	100	
	582	221.335	221.335	100	
	583	220.875	220.875	100	
	584	220.532	220.532	100	
	585	220.495	220.495	100	
	586	216.096	216.096	100	
	587	215.982	215.982	100	
	588	216.107	216.107	100	
	589	217.4	217.4	100	
	590	217.498	217.498	100	
	591	217.449	217.449	100	
	592	217.333	217.333	100	
	593	217.053	217.053	100	
	594	216.884	216.884	100	
	595	216.668	216.668	100	
	596	216.497	216.497	100	
	597	216.332	216.332	100	
	598	216.223	216.223	100	
	599	212.98	212.98	100	
	600	213.439	213.439	100	
	601	212.915	212.915	100	
	602	213.5	213.5	100	
	603	219.844	219.844	100	
	604	220.351	220.351	100	
	605	220.957	220.957	100	
	606	221.162	221.162	100	
	607	222.004	222.004	100	
	608	222.613	222.613	100	
	609	223.38	223.38	100	
	610	223.617	223.617	100	
	611	224.026	224.026	100	
	612	224.621	224.621	100	
	613	224.847	224.847	100	
	614	224.985	224.985	100	
	615	225.842	225.842	100	
	616	226.715	226.715	100	
	617	226.955	226.955	100	
	618	227.472	227.472	100	
	619	227.907	227.907	100	
	620	228.386	228.386	100	
	621	228.841	228.841	100	
	622	229.264	229.264	100	
	623	229.703	229.703	100	
	624	230.317	230.317	100	
	625	230.687	230.687	100	
	626	231.158	231.158	100	
	627	231.428	231.428	100	
	628	231.523	231.523	100	
	629	230.913	230.913	100	
	630	229.615	229.615	100	
	631	228.903	228.903	100	
	632	229.68	229.68	100	
	633	230.457	230.457	100	
	634	231.19	231.19	100	
	635	231.905	231.905	100	
	636	232.028	232.028	100	
	637	232.81	232.81	100	
	638	233.027	233.027	100	
	639	233.677	233.677	100	
	640	233.862	233.862	100	
	641	235.005	235.005	100	
	642	235.424	235.424	100	
	643	235.765	235.765	100	
	644	236.349	236.349	100	
	645	236.362	236.362	100	
	646	236.756	236.756	100	
	647	237.344	237.344	100	
	648	237.804	237.804	100	
	649	238.645	238.645	100	
	650	238.931	238.931	100	
	651	238.818	238.818	100	
	652	238.665	238.665	100	
	653	238.381	238.381	100	
	654	238.33	238.33	100	
	655	238.309	238.309	100	
	656	238.273	238.273	100	
	657	238.391	238.391	100	
	658	238.136	238.136	100	
	659	238.216	238.216	100	
	660	238.501	238.501	100	
	661	238.735	238.735	100	
	662	239.015	239.015	100	
	663	243.776	243.776	100	
	664	245.344	245.344	100	
	665	247.237	247.237	100	
	666	245.717	245.717	100	
	667	247.742	247.742	100	
	668	247.642	247.642	100	
	669	248.303	248.303	100	
	670	249.474	249.474	100	
	671	250.403	250.403	100	
	672	250.877	250.877	100	
	673	251.464	251.464	100	
	674	252.493	252.493	100	
	675	252.393	252.393	100	
	676	253.598	253.598	100	
	677	254.82	254.82	100	
	678	256.017	256.017	100	
	679	257.388	257.388	100	
	680	258.535	258.535	100	
	681	259.923	259.923	100	
	682	261.036	261.036	100	
	683	262.358	262.358	100	
	684	263.463	263.463	100	
	685	264.893	264.893	100	
	686	265.948	265.948	100	
	687	267.453	267.453	100	
	688	268.567	268.567	100	
	689	270.278	270.278	100	
	690	272.306	272.306	100	
	691	272.988	272.988	100	
	692	274.426	274.426	100	
	693	275.182	275.182	100	
	694	276.437	276.437	100	
	695	277.279	277.279	100	
	696	278.556	278.556	100	
	697	284.616	284.616	100	
	698	280.593	280.593	100	
	699	287.18	287.18	100	
	700	288.026	288.026	100	
	701	295.232	295.232	100	
	702	297.804	297.804	100	
	703	297.653	297.653	100	
	704	288.91	288.91	100	
	705	289.76	289.76	100	
	706	291.026	291.026	100	
	707	292.031	292.031	100	
	708	293.639	293.639	100	
	709	294.618	294.618	100	
	710	296.332	296.332	100	
	711	297.292	297.292	100	
	712	299.019	299.019	100	
	713	299.917	299.917	100	
	714	301.272	301.272	100	
	715	302.459	302.459	100	
	716	303.73	303.73	100	
	717	304.853	304.853	100	
	718	305.975	305.975	100	
	719	307.108	307.108	100	
	720	308.385	308.385	100	
	721	309.597	309.597	100	
	722	310.793	310.793	100	
	723	311.037	311.037	100	
	724	311.199	311.199	100	
	725	307.221	307.221	100	
	726	309.277	309.277	100	
	727	310.152	310.152	100	
	728	311.685	311.685	100	
	729	313.256	313.256	100	
	730	321.012	321.012	100	
	731	322.21	322.21	100	
	732	323.507	323.507	100	
	733	324.749	324.749	100	
	734	326.23	326.23	100	
	735	327.175	327.175	100	
	736	328.359	328.359	100	
	737	329.07	329.07	100	
	738	330.304	330.304	100	
	739	331.528	331.528	100	
	740	332.839	332.839	100	
	741	333.999	333.999	100	
	742	335.286	335.286	100	
	743	340.728	340.728	100	
	744	341.853	341.853	100	
	745	342.83	342.83	100	
	746	343.003	343.003	100	
	747	344.33	344.33	100	
	748	345.585	345.585	100	
	749	346.237	346.237	100	
	750	347.002	347.002	100	
	751	348.07	348.07	100	
	752	349.084	349.084	100	
	753	349.435	349.435	100	
	754	349.806	349.806	100	
	755	350.082	350.082	100	
	756	350.238	350.238	100	
	757	350.645	350.645	100	
	758	350.912	350.912	100	
	759	351.377	351.377	100	
	760	351.668	351.668	100	
	761	351.809	351.809	100	
	762	352.263	352.263	100	
	763	352.665	352.665	100	
	764	352.989	352.989	100	
	765	353.214	353.214	100	
	766	353.316	353.316	100	
	767	353.453	353.453	100	
	768	353.882	353.882	100	
	769	354.072	354.072	100	
	770	354.462	354.462	100	
	771	354.67	354.67	100	
	772	354.995	354.995	100	
	773	355.268	355.268	100	
	774	355.585	355.585	100	
	775	355.809	355.809	100	
	776	356.083	356.083	100	
	777	356.299	356.299	100	
	778	356.523	356.523	100	
	779	356.773	356.773	100	
	780	356.931	356.931	100	
	781	357.105	357.105	100	
	782	357.404	357.404	100	
	783	357.554	357.554	100	
	784	357.687	357.687	100	
	785	357.894	357.894	100	
	786	358.069	358.069	100	
	787	358.401	358.401	100	
	788	356.916	356.916	100	
	789	354.933	354.933	100	
	790	353.343	353.343	100	
	791	351.014	351.014	100	
	792	349.38	349.38	100	
	793	347.4	347.4	100	
	794	345.464	345.464	100	
	795	350.518	350.518	100	
	796	349.444	349.444	100	
	797	346.431	346.431	100	
	798	345.512	345.512	100	
	799	344.584	344.584	100	
	800	332.355	332.355	100	
	801	330.337	330.337	100	
	802	328.375	328.375	100	
	803	326.448	326.448	100	
	804	324.819	324.819	100	
	805	322.914	322.914	100	
	806	321.055	321.055	100	
	807	325.291	325.291	100	
	808	324.121	324.121	100	
	809	321.415	321.415	100	
	810	320.596	320.596	100	
	811	317.659	317.659	100	
	812	317.072	317.072	100	
	813	307.555	307.555	100	
	814	307.04	307.04	100	
	815	306.995	306.995	100	
	816	305.408	305.408	100	
	817	303.263	303.263	100	
	818	301.694	301.694	100	
	819	300.106	300.106	100	
	820	298.32	298.32	100	
	821	296.033	296.033	100	
	822	294.305	294.305	100	
	823	292.743	292.743	100	
	824	290.282	290.282	100	
	825	289.675	289.675	100	
	826	288.522	288.522	100	
	827	288.056	288.056	100	
	828	287.256	287.256	100	
	829	286.601	286.601	100	
	830	285.712	285.712	100	
	831	285.105	285.105	100	
	832	284.207	284.207	100	
	833	283.554	283.554	100	
	834	282.852	282.852	100	
	835	281.33	281.33	100	
	836	280.367	280.367	100	
	837	279.642	279.642	100	
	838	278.771	278.771	100	
	839	278.164	278.164	100	
	840	276.795	276.795	100	
	841	283.217	283.217	100	
	842	283.666	283.666	100	
	843	287.908	287.908	100	
	844	291.363	291.363	100	
	845	286.565	286.565	100	
	846	269.216	269.216	100	
	847	268.293	268.293	100	
	848	267.761	267.761	100	
	849	266.49	266.49	100	
	850	265.685	265.685	100	
	851	264.963	264.963	100	
	852	264.413	264.413	100	
	853	263.52	263.52	100	
	854	262.929	262.929	100	
	855	262.099	262.099	100	
	856	261.344	261.344	100	
	857	260.377	260.377	100	
	858	259.581	259.581	100	
	859	258.679	258.679	100	
	860	257.908	257.908	100	
	861	257.553	257.553	100	
	862	256.646	256.646	100	
	863	255.751	255.751	100	
	864	255.165	255.165	100	
	865	254.186	254.186	100	
	866	253.089	253.089	100	
	867	252.251	252.251	100	
	868	251.34	251.34	100	
	869	250.24	250.24	100	
	870	249.434	249.434	100	
	871	248.796	248.796	100	
	872	247.917	247.917	100	
