Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	280	1357.25	570.125	
	281	1357.13	570.246	
	282	1357.14	570.246	
	283	1357.14	570.238	
	284	1357.16	570.238	
	285	1357.16	570.238	
	286	1357.17	570.234	
	287	1357.18	570.234	
	288	1357.18	570.238	
	289	1357.18	570.234	
	290	1357.18	570.238	
	291	1357.18	570.234	
	292	1357.18	570.234	
	293	1357.19	570.238	
	294	1357.19	570.238	
	295	1357.19	570.238	
	296	1357.2	570.238	
	297	1357.2	570.238	
	298	1357.2	570.238	
	299	1357.2	570.242	
	300	1357.21	570.242	
	301	1357.21	570.246	
	302	1357.21	570.246	
	303	1357.21	570.246	
	304	1357.22	570.246	
	305	1357.23	570.246	
	306	1357.23	570.246	
	307	1357.24	570.25	
	308	1357.25	570.246	
	309	1357.25	570.246	
	310	1357.26	570.25	
	311	1357.27	570.25	
	312	1357.27	570.25	
	313	1357.28	570.25	
	314	1357.28	570.25	
	315	1357.29	570.25	
	316	1357.3	570.25	
	317	1357.3	570.25	
	318	1357.31	570.25	
	319	1357.32	570.25	
	320	1357.34	570.25	
	321	1357.34	570.25	
	322	1357.36	570.25	
	323	1357.36	570.25	
	324	1357.38	570.25	
	325	1357.38	570.25	
	326	1357.4	570.25	
	327	1357.41	570.25	
	328	1357.42	570.25	
	329	1357.44	570.25	
	330	1357.45	570.25	
	331	1357.47	570.25	
	332	1357.49	570.25	
	333	1357.5	570.25	
	334	1357.54	570.25	
	335	1357.55	570.25	
	336	1357.57	570.25	
	337	1357.6	570.246	
	338	1357.61	570.246	
	339	1357.64	570.238	
	340	1357.66	570.242	
	341	1357.68	570.242	
	342	1357.7	570.234	
	343	1357.72	570.234	
	344	1357.74	570.23	
	345	1357.75	570.23	
	346	1357.78	570.227	
	347	1357.8	570.223	
	348	1357.82	570.223	
	349	1357.82	570.227	
	350	1357.8	570.227	
	351	1357.77	570.23	
	352	1357.76	570.23	
	353	1357.74	570.23	
	354	1357.72	570.238	
	355	1357.7	570.238	
	356	1357.68	570.246	
	357	1357.66	570.246	
	358	1357.65	570.246	
	359	1357.63	570.25	
	360	1357.61	570.25	
	361	1357.59	570.25	
	362	1357.57	570.25	
	363	1357.55	570.25	
	364	1357.54	570.25	
	365	1357.52	570.25	
	366	1357.51	570.25	
	367	1357.49	570.25	
	368	1357.48	570.25	
	369	1357.46	570.25	
	370	1357.45	570.25	
	371	1357.43	570.25	
	372	1357.42	570.25	
	373	1357.41	570.25	
	374	1357.4	570.25	
	375	1357.39	570.25	
	376	1357.38	570.25	
	377	1357.37	570.25	
	378	1357.36	570.25	
	379	1357.35	570.25	
	380	1357.34	570.25	
	381	1357.33	570.25	
	382	1357.32	570.25	
	383	1357.32	570.25	
	384	1357.31	570.25	
	385	1357.3	570.25	
	386	1357.3	570.25	
	387	1357.29	570.25	
	388	1357.29	570.25	
	389	1357.28	570.25	
	390	1357.28	570.25	
	391	1357.27	570.25	
	392	1357.27	570.25	
	393	1357.27	570.25	
	394	1357.27	570.25	
	395	1357.26	570.25	
	396	1357.26	570.25	
	397	1357.25	570.25	
	398	1357.25	570.25	
	399	1357.25	570.25	
	400	1357.24	570.25	
	401	1357.24	570.25	
	402	1357.23	570.25	
	403	1357.23	570.25	
	404	1357.23	570.25	
	405	1357.23	570.254	
	406	1357.22	570.254	
	407	1357.22	570.254	
	408	1357.22	570.254	
	409	1357.22	570.254	
	410	1357.21	570.258	
	411	1357.21	570.258	
	412	1357.2	570.258	
	413	1357.2	570.258	
	414	1357.18	570.258	
	415	1357.18	570.258	
	416	1357.16	570.258	
	417	1357.16	570.262	
	418	1357.13	570.418	
	419	1357.13	570.695	
	420	1357.16	570.859	
	421	1357.16	570.965	
	422	1357.17	571.059	
	423	1357.21	571.141	
	424	1357.29	571.199	
	425	1357.37	571.348	
	426	1357.47	571.395	
	427	1357.58	571.426	
	428	1357.69	571.453	
	429	1357.8	571.469	
	430	1357.9	571.48	
	431	1358.27	571.48	
	432	1358.38	570.992	
	433	1358.49	570.934	
	434	1358.63	570.887	
	435	1358.71	570.832	
	436	1358.84	570.91	
	437	1359.12	570.805	
	438	1359.36	570.672	
	439	1359.63	570.535	
	440	1359.88	570.363	
	441	1360.09	570.188	
	442	1360.46	570.086	
	443	1360.89	569.859	
	444	1361.21	569.672	
	445	1361.65	569.527	
	446	1361.98	569.352	
	447	1362.34	569.223	
	448	1362.87	568.758	
	449	1362.87	568.758	
	450	1362.87	568.75	
	451	1362.87	568.75	
	452	1362.87	568.75	
	453	1362.88	568.746	
	454	1362.87	568.746	
	455	1362.87	568.742	
	456	1362.88	568.746	
	457	1362.88	568.746	
	458	1362.88	568.746	
	459	1362.88	568.746	
	460	1362.88	568.746	
	461	1362.88	568.746	
	462	1362.88	568.742	
	463	1362.88	568.742	
	464	1362.88	568.742	
	465	1362.88	568.742	
	466	1362.88	568.742	
	467	1362.88	568.742	
	468	1362.88	568.742	
	469	1362.88	568.742	
	470	1362.88	568.742	
	471	1362.88	568.742	
	472	1362.88	568.738	
	473	1362.88	568.738	
	474	1362.88	568.738	
	475	1362.88	568.738	
	476	1362.88	568.738	
	477	1362.89	568.746	
	478	1362.89	568.746	
	479	1362.89	568.75	
	480	1362.89	568.75	
	481	1362.89	568.75	
	482	1362.88	568.746	
	483	1362.88	568.746	
	484	1362.88	568.742	
	485	1362.89	568.742	
	486	1362.89	568.742	
	487	1362.89	568.742	
	488	1362.89	568.742	
	489	1362.89	568.742	
