Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	280	44.0625	585.563	
	281	43.8789	585.5	
	282	43.8789	585.492	
	283	43.8789	585.492	
	284	43.8828	585.492	
	285	43.8867	585.492	
	286	43.8867	585.492	
	287	43.8906	585.492	
	288	43.8906	585.492	
	289	43.8906	585.496	
	290	43.8984	585.492	
	291	43.8984	585.488	
	292	43.8945	585.492	
	293	43.9063	585.496	
	294	43.9102	585.492	
	295	43.9102	585.496	
	296	43.9141	585.496	
	297	43.918	585.492	
	298	43.9297	585.5	
	299	43.9336	585.5	
	300	43.9375	585.5	
	301	43.9453	585.5	
	302	43.9492	585.5	
	303	43.9492	585.5	
	304	43.9492	585.5	
	305	43.9727	585.5	
	306	43.9805	585.5	
	307	43.9883	585.5	
	308	43.9883	585.5	
	309	43.9883	585.5	
	310	43.9961	585.5	
	311	43.9961	585.5	
	312	43.9961	585.5	
	313	43.9961	585.5	
	314	44.0039	585.5	
	315	44.0039	585.5	
	316	44.0273	585.5	
	317	44.0234	585.5	
	318	44.0273	585.5	
	319	44.0391	585.5	
	320	44.0391	585.5	
	321	44.043	585.5	
	322	44.043	585.5	
	323	44.043	585.5	
	324	44.043	585.5	
	325	44.0625	585.5	
	326	44.0703	585.5	
	327	44.0703	585.5	
	328	44.0625	585.5	
	329	44.0664	585.5	
	330	44.0664	585.5	
	331	44.0859	585.5	
	332	44.0859	585.5	
	333	44.0859	585.5	
	334	44.0781	585.5	
	335	44.0898	585.5	
	336	44.0781	585.5	
	337	44.0938	585.5	
	338	44.0938	585.5	
	339	44.0977	585.5	
	340	44.1211	585.5	
	341	44.1211	585.5	
	342	44.125	585.5	
	343	44.1289	585.5	
	344	44.1289	585.5	
	345	44.1289	585.5	
	346	44.1406	585.5	
	347	44.1406	585.5	
	348	44.1445	585.5	
	349	44.1484	585.5	
	350	44.1484	585.5	
	351	44.1563	585.5	
	352	44.1602	585.5	
	353	44.1602	585.5	
	354	44.168	585.5	
	355	44.168	585.5	
	356	44.1797	585.5	
	357	44.1836	585.5	
	358	44.1875	585.5	
	359	44.1875	585.5	
	360	44.1875	585.5	
	361	44.1914	585.5	
	362	44.1875	585.5	
	363	44.2109	585.5	
	364	44.2148	585.5	
	365	44.2148	585.5	
	366	44.2227	585.5	
	367	44.2227	585.5	
	368	44.2266	585.5	
	369	44.2305	585.5	
	370	44.2305	585.5	
	371	44.2266	585.5	
	372	44.2305	585.5	
	373	44.2305	585.5	
	374	44.2305	585.5	
	375	44.2344	585.5	
	376	44.2383	585.5	
	377	44.2383	585.5	
	378	44.2422	585.5	
	379	44.2422	585.5	
	380	44.2422	585.5	
	381	44.2461	585.5	
	382	44.25	585.5	
	383	44.25	585.5	
	384	44.25	585.5	
	385	44.25	585.5	
	386	44.2539	585.5	
	387	44.2578	585.5	
	388	44.2578	585.5	
	389	44.2578	585.5	
	390	44.2617	585.5	
	391	44.2656	585.5	
	392	44.2852	585.5	
	393	44.2852	585.5	
	394	44.2969	585.5	
	395	44.2969	585.5	
	396	44.2969	585.5	
	397	44.3008	585.5	
	398	44.3008	585.5	
	399	44.3008	585.5	
	400	44.3047	585.5	
	401	44.3086	585.5	
	402	44.3125	585.5	
	403	44.3125	585.5	
	404	44.3125	585.5	
	405	44.3164	585.5	
	406	44.3164	585.5	
	407	44.3164	585.5	
	408	44.3242	585.5	
	409	44.3281	585.5	
	410	44.332	585.5	
	411	44.3203	585.5	
	412	44.3242	585.5	
	413	44.3281	585.5	
	414	44.332	585.5	
	415	44.3359	585.5	
	416	44.3398	585.5	
	417	44.3438	585.5	
	418	44.3438	585.5	
	419	44.3438	585.5	
	420	44.3477	585.5	
	421	44.3242	585.5	
	422	44.3398	585.5	
	423	44.332	585.5	
	424	44.332	585.5	
	425	44.3359	585.5	
	426	44.3398	585.5	
	427	44.3438	585.5	
	428	44.3438	585.5	
	429	44.3516	585.5	
	430	44.3555	585.5	
	431	44.3594	585.5	
	432	44.3633	585.5	
	433	44.3633	585.5	
	434	44.3672	585.5	
	435	44.375	585.5	
	436	44.3867	585.5	
	437	44.3984	585.5	
	438	44.3984	585.5	
	439	44.3984	585.5	
	440	44.4102	585.496	
	441	44.4141	585.492	
	442	44.418	585.492	
	443	44.4258	585.492	
	444	44.4297	585.492	
	445	44.4336	585.492	
	446	44.4375	585.492	
	447	44.4492	585.488	
	448	44.4492	585.488	
	449	44.457	585.488	
	450	44.4688	585.484	
	451	44.4727	585.484	
	452	44.4609	585.484	
	453	44.4922	585.48	
	454	44.4961	585.484	
	455	44.5039	585.484	
	456	44.5078	585.484	
	457	44.5117	585.48	
	458	44.5234	585.48	
	459	44.5234	585.48	
	460	44.5313	585.477	
	461	44.5352	585.477	
	462	44.543	585.477	
	463	44.5508	585.477	
	464	44.5586	585.473	
	465	44.5625	585.469	
	466	44.5703	585.469	
	467	44.5742	585.469	
	468	44.582	585.469	
	469	44.582	585.469	
	470	44.5938	585.469	
	471	44.5938	585.465	
	472	44.6133	585.465	
	473	44.6133	585.461	
	474	44.6211	585.457	
	475	44.625	585.457	
	476	44.6328	585.457	
	477	44.6367	585.457	
	478	44.6445	585.453	
	479	44.6367	585.457	
	480	44.6406	585.457	
	481	44.6484	585.453	
	482	44.6484	585.453	
	483	44.6523	585.453	
	484	44.6602	585.453	
	485	44.6719	585.449	
	486	44.6758	585.449	
	487	44.6875	585.449	
	488	44.6914	585.445	
	489	44.6953	585.441	
	490	44.7031	585.441	
	491	44.7109	585.438	
	492	44.7148	585.438	
	493	44.7148	585.438	
	494	44.7227	585.438	
	495	44.7305	585.438	
	496	44.7344	585.434	
	497	44.7383	585.434	
	498	44.7461	585.43	
	499	44.7461	585.43	
	500	44.7539	585.43	
	501	44.7578	585.43	
	502	44.7617	585.426	
	503	44.7656	585.426	
	504	44.7656	585.426	
	505	44.7617	585.426	
	506	44.7578	585.43	
	507	44.7539	585.43	
	508	44.7539	585.434	
	509	44.7539	585.434	
	510	44.7422	585.43	
	511	44.7422	585.43	
	512	44.7383	585.43	
	513	44.7305	585.434	
	514	44.7266	585.434	
	515	44.7227	585.434	
	516	44.7188	585.434	
	517	44.7148	585.434	
	518	44.7109	585.434	
	519	44.6992	585.438	
	520	44.7031	585.438	
	521	44.6953	585.441	
	522	44.6914	585.441	
	523	44.6836	585.445	
	524	44.6758	585.445	
	525	44.6758	585.445	
	526	44.6719	585.445	
	527	44.6641	585.445	
	528	44.6563	585.449	
	529	44.6523	585.453	
	530	44.6445	585.457	
	531	44.6602	585.453	
	532	44.6563	585.453	
	533	44.6484	585.453	
	534	44.6445	585.457	
	535	44.6406	585.457	
	536	44.6367	585.457	
	537	44.6133	585.457	
	538	44.6016	585.457	
	539	44.5938	585.461	
	540	44.5859	585.461	
	541	44.5859	585.461	
	542	44.5781	585.461	
	543	44.5703	585.461	
	544	44.5703	585.461	
	545	44.5664	585.465	
	546	44.5547	585.465	
	547	44.5508	585.469	
	548	44.543	585.473	
	549	44.5391	585.473	
	550	44.5352	585.473	
	551	44.5313	585.473	
	552	44.5273	585.473	
	553	44.5117	585.473	
	554	44.5117	585.477	
	555	44.5078	585.477	
	556	44.5	585.48	
	557	44.4961	585.48	
	558	44.4922	585.48	
	559	44.4844	585.48	
	560	44.4805	585.48	
	561	44.4844	585.48	
	562	44.4805	585.48	
	563	44.4727	585.484	
	564	44.4688	585.484	
	565	44.4609	585.488	
	566	44.4414	585.484	
	567	44.4375	585.484	
	568	44.4297	585.488	
	569	44.4336	585.488	
	570	44.418	585.488	
	571	44.4141	585.488	
	572	44.4141	585.492	
	573	44.4102	585.492	
	574	44.4023	585.496	
	575	44.3984	585.496	
	576	44.3945	585.496	
	577	44.3945	585.496	
	578	44.3906	585.492	
	579	44.3906	585.496	
	580	44.3867	585.496	
	581	44.3789	585.496	
	582	44.3789	585.496	
	583	44.375	585.5	
	584	44.3711	585.5	
	585	44.3633	585.5	
	586	44.3594	585.5	
	587	44.3555	585.5	
	588	44.3555	585.5	
	589	44.3516	585.5	
	590	44.3516	585.5	
	591	44.3477	585.5	
	592	44.3477	585.5	
	593	44.3438	585.5	
	594	44.3398	585.5	
	595	44.3633	585.496	
	596	44.3477	585.5	
	597	44.3398	585.5	
	598	44.3203	585.5	
	599	44.3125	585.5	
	600	44.3125	585.5	
	601	44.3086	585.5	
	602	44.3047	585.5	
	603	44.3047	585.5	
	604	44.3008	585.5	
	605	44.3008	585.5	
	606	44.293	585.5	
	607	44.2891	585.5	
	608	44.2891	585.5	
	609	44.2852	585.5	
	610	44.2852	585.5	
	611	44.2813	585.5	
	612	44.2813	585.5	
	613	44.2813	585.5	
	614	44.2734	585.5	
	615	44.2773	585.5	
	616	44.2734	585.5	
	617	44.2695	585.5	
	618	44.2695	585.5	
	619	44.2656	585.5	
	620	44.2656	585.5	
	621	44.2695	585.5	
	622	44.2656	585.5	
	623	44.2617	585.5	
	624	44.2734	585.5	
	625	44.2773	585.5	
	626	44.2734	585.5	
	627	44.2695	585.5	
	628	44.2695	585.5	
	629	44.2695	585.5	
	630	44.2656	585.5	
	631	44.2656	585.5	
	632	44.2617	585.5	
	633	44.2617	585.5	
	634	44.2617	585.5	
	635	44.2578	585.5	
	636	44.2578	585.5	
	637	44.2539	585.5	
	638	44.2539	585.5	
	639	44.25	585.5	
	640	44.2461	585.5	
	641	44.2461	585.5	
	642	44.2461	585.5	
	643	44.2383	585.5	
	644	44.2422	585.5	
	645	44.2422	585.5	
