Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	233	100	100	100	
	234	95.4603	95.4603	100	
	235	98.7641	98.7641	100	
	236	92.7999	92.7999	100	
	237	86.9509	86.9509	100	
	238	89.1985	89.1985	100	
	239	92.8981	92.8981	100	
	240	94.4419	94.4419	100	
	241	91.2088	91.2088	100	
	242	93.4758	93.4758	100	
	243	97.1716	97.1716	100	
	244	102.043	102.043	100	
	245	103.601	103.601	100	
	246	102.945	102.945	100	
	247	109.704	109.704	100	
	248	109.701	109.701	100	
	249	111.878	111.878	100	
	250	102.507	102.507	100	
	251	92.0033	92.0033	100	
	252	89.6855	89.6855	100	
	253	87.6618	87.6618	100	
	254	88.5615	88.5615	100	
	255	89.0774	89.0774	100	
	256	90.0834	90.0834	100	
	257	89.9386	89.9386	100	
	258	93.7356	93.7356	100	
	259	88.347	88.347	100	
	260	90.5649	90.5649	100	
	261	87.8757	87.8757	100	
	262	89.9354	89.9354	100	
	263	87.9803	87.9803	100	
	264	98.8869	98.8869	100	
	265	98.2733	98.2733	100	
	266	89.3609	89.3609	100	
	267	98.025	98.025	100	
	268	95.8598	95.8598	100	
	269	96.3303	96.3303	100	
	270	95.9282	95.9282	100	
	271	94.1303	94.1303	100	
	272	93.5073	93.5073	100	
	273	93.524	93.524	100	
	274	83.8936	83.8936	100	
	275	92.1298	92.1298	100	
	276	82.401	82.401	100	
	277	83.0294	83.0294	100	
	278	80.9392	80.9392	100	
	279	72.2502	72.2502	100	
	280	70.2578	70.2578	100	
	281	78.4828	78.4828	100	
	282	75.7773	75.7773	100	
	283	73.1856	73.1856	100	
	284	69.9123	69.9123	100	
	285	71.7851	71.7851	100	
	286	73.229	73.229	100	
	287	70.6894	70.6894	100	
	288	72.768	72.768	100	
	289	73.9265	73.9265	100	
	290	72.7859	72.7859	100	
	291	72.4462	72.4462	100	
	292	67.8638	67.8638	100	
	293	68.1494	68.1494	100	
	294	68.202	68.202	100	
	295	71.0309	71.0309	100	
	296	71.1136	71.1136	100	
	297	71.303	71.303	100	
	298	73.2772	73.2772	100	
	299	70.9118	70.9118	100	
	300	70.9415	70.9415	100	
	301	71.0516	71.0516	100	
	302	71.8813	71.8813	100	
	303	71.9784	71.9784	100	
	304	73.2767	73.2767	100	
	305	71.9438	71.9438	100	
	306	71.8564	71.8564	100	
	307	71.6813	71.6813	100	
	308	70.4616	70.4616	100	
	309	73.3091	73.3091	100	
	310	70.714	70.714	100	
	311	76.3156	76.3156	100	
	312	70.0503	70.0503	100	
	313	76.0022	76.0022	100	
	314	78.9453	78.9453	100	
	315	77.3797	77.3797	100	
	316	78.2831	78.2831	100	
	317	80.3684	80.3684	100	
	318	80.331	80.331	100	
	319	79.3685	79.3685	100	
	320	80.0717	80.0717	100	
	321	77.6717	77.6717	100	
	322	76.0904	76.0904	100	
	323	75.0517	75.0517	100	
	324	73.5144	73.5144	100	
	325	67.6495	67.6495	100	
	326	66.0988	66.0988	100	
	327	57.6817	57.6817	100	
	328	71.2888	71.2888	100	
	329	57.6354	57.6354	100	
	330	53.3998	53.3998	100	
	331	58.0119	58.0119	100	
	332	63.6025	63.6025	100	
	333	70.0369	70.0369	100	
	334	62.2168	62.2168	100	
	335	58.9634	58.9634	100	
	336	48.7608	48.7608	100	
	337	49.2926	49.2926	100	
	338	47.7829	47.7829	100	
	339	46.8338	46.8338	100	
	340	46.7444	46.7444	100	
	341	45.4415	45.4415	100	
	342	39.3739	39.3739	100	
	343	26.3974	26.3974	100	
	344	22.8815	22.8815	100	
	345	21.3459	21.3459	100	
	346	73.8425	73.8425	100	
	347	74.3946	74.3946	100	
	348	74.3371	74.3371	100	
	349	74.5898	74.5898	100	
	350	75.0044	75.0044	100	
	351	74.9584	74.9584	100	
	352	74.9469	74.9469	100	
	353	74.9238	74.9238	100	
	354	73.8682	73.8682	100	
	355	73.3721	73.3721	100	
	356	72.9241	72.9241	100	
	357	73.6985	73.6985	100	
	358	73.6985	73.6985	100	
	359	73.6985	73.6985	100	
	360	73.9056	73.9056	100	
	361	73.9171	73.9171	100	
	362	73.9302	73.9302	100	
	363	74.2894	74.2894	100	
	364	74.4608	74.4608	100	
	365	74.461	74.461	100	
	366	74.3577	74.3577	100	
	367	72.3622	72.3622	100	
	368	72.8356	72.8356	100	
	369	71.3028	71.3028	100	
	370	71.4313	71.4313	100	
	371	73.7667	73.7667	100	
	372	73.4965	73.4965	100	
	373	74.0114	74.0114	100	
	374	74.0114	74.0114	100	
	375	74.3708	74.3708	100	
	376	74.0152	74.0152	100	
	377	74.3941	74.3941	100	
	378	74.4288	74.4288	100	
	379	74.94	74.94	100	
	380	85.8987	85.8987	100	
	381	89.5558	89.5558	100	
	382	87.447	87.447	100	
	383	87.4413	87.4413	100	
	384	86.692	86.692	100	
	385	89.1306	89.1306	100	
	386	88.8022	88.8022	100	
	387	88.1262	88.1262	100	
	388	87.9492	87.9492	100	
	389	87.9492	87.9492	100	
	390	87.9498	87.9498	100	
	391	87.9538	87.9538	100	
	392	87.9253	87.9253	100	
	393	87.9283	87.9283	100	
	394	87.9277	87.9277	100	
	395	88.0559	88.0559	100	
	396	85.7221	85.7221	100	
	397	85.7198	85.7198	100	
	398	85.7227	85.7227	100	
	399	85.7238	85.7238	100	
	400	85.7193	85.7193	100	
	401	85.7176	85.7176	100	
	402	89.1927	89.1927	100	
	403	89.2063	89.2063	100	
	404	89.301	89.301	100	
	405	80.2632	80.2632	100	
	406	80.387	80.387	100	
	407	80.2836	80.2836	100	
	408	80.2089	80.2089	100	
	409	80.1535	80.1535	100	
	410	80.082	80.082	100	
	411	80.0715	80.0715	100	
	412	79.9226	79.9226	100	
	413	80.0035	80.0035	100	
	414	79.8886	79.8886	100	
	415	79.9576	79.9576	100	
	416	79.8876	79.8876	100	
	417	79.8071	79.8071	100	
	418	79.8076	79.8076	100	
	419	79.8076	79.8076	100	
	420	79.6201	79.6201	100	
	421	79.8019	79.8019	100	
	422	79.7204	79.7204	100	
	423	79.9382	79.9382	100	
	424	80.0892	80.0892	100	
	425	79.5208	79.5208	100	
	426	79.8845	79.8845	100	
	427	80.0481	80.0481	100	
	428	79.9906	79.9906	100	
	429	79.896	79.896	100	
	430	79.7656	79.7656	100	
	431	79.9486	79.9486	100	
	432	79.8336	79.8336	100	
	433	80.7002	80.7002	100	
	434	80.5063	80.5063	100	
	435	80.5479	80.5479	100	
	436	80.5119	80.5119	100	
	437	80.544	80.544	100	
	438	89.3712	89.3712	100	
	439	92.0874	92.0874	100	
	440	93.4904	93.4904	100	
	441	84.7641	84.7641	100	
	442	75.8974	75.8974	100	
	443	65.1746	65.1746	100	
	444	65.1728	65.1728	100	
	445	68.0777	68.0777	100	
	446	113.655	113.655	100	
	447	114.635	114.635	100	
	448	118.718	118.718	100	
	449	122.209	122.209	100	
	450	123.716	123.716	100	
	451	123.613	123.613	100	
	452	124.628	124.628	100	
	453	128.278	128.278	100	
	454	119.676	119.676	100	
	455	119.205	119.205	100	
	456	119.401	119.401	100	
	457	119.886	119.886	100	
	458	121.628	121.628	100	
	459	121.802	121.802	100	
	460	124.653	124.653	100	
	461	127.136	127.136	100	
	462	131.999	131.999	100	
	463	136.693	136.693	100	
	464	140.864	140.864	100	
	465	146.912	146.912	100	
	466	149.066	149.066	100	
	467	153.531	153.531	100	
	468	154.102	154.102	100	
	469	154.004	154.004	100	
	470	158.783	158.783	100	
	471	167.512	167.512	100	
	472	175.846	175.846	100	
	473	182.198	182.198	100	
	474	172.593	172.593	100	
	475	177.625	177.625	100	
	476	176.371	176.371	100	
	477	178.779	178.779	100	
	478	175.104	175.104	100	
	479	171.671	171.671	100	
	480	168.745	168.745	100	
	481	156.128	156.128	100	
	482	150.407	150.407	100	
	483	143.196	143.196	100	
	484	134.966	134.966	100	
	485	127.31	127.31	100	
	486	123.801	123.801	100	
	487	119.553	119.553	100	
	488	104.89	104.89	100	
	489	84.9852	84.9852	100	
	490	66.0224	66.0224	100	
	491	56.5537	56.5537	100	
	492	64.2594	64.2594	100	
	493	62.7846	62.7846	100	
	494	68.0608	68.0608	100	
	495	67.5415	67.5415	100	
	496	67.6788	67.6788	100	
	497	69.3296	69.3296	100	
	498	86.9475	86.9475	100	
	499	97.017	97.017	100	
	500	155.947	155.947	100	
	501	165.018	165.018	100	
	502	174.361	174.361	100	
	503	166.977	166.977	100	
	504	166.575	166.575	100	
	505	172.568	172.568	100	
	506	171.141	171.141	100	
	507	164.947	164.947	100	
	508	181.025	181.025	100	
	509	177.391	177.391	100	
	510	175.738	175.738	100	
	511	149.891	149.891	100	
	512	142.362	142.362	100	
	513	136.086	136.086	100	
	514	132.392	132.392	100	
	515	137.272	137.272	100	
	516	150.093	150.093	100	
	517	167.021	167.021	100	
	518	180.649	180.649	100	
	519	194.272	194.272	100	
	520	195.228	195.228	100	
	521	195.733	195.733	100	
	522	199.423	199.423	100	
	523	115.05	115.05	100	
	524	115.05	115.05	100	
	525	106.807	106.807	100	
	526	120.048	120.048	100	
	527	130.283	130.283	100	
	528	144.002	144.002	100	
	529	157.016	157.016	100	
	530	170.513	170.513	100	
	531	100.847	100.847	100	
	532	107.657	107.657	100	
	533	111.834	111.834	100	
	534	124.592	124.592	100	
	535	168.843	168.843	100	
	536	127.178	127.178	100	
	537	129.062	129.062	100	
	538	127.179	127.179	100	
	539	135.508	135.508	100	
	540	122.761	122.761	100	
	541	118.246	118.246	100	
	542	121.203	121.203	100	
	543	120.645	120.645	100	
	544	122.698	122.698	100	
	545	129.273	129.273	100	
	546	132.949	132.949	100	
	547	129.373	129.373	100	
	548	120.158	120.158	100	
	549	113.544	113.544	100	
	550	106.274	106.274	100	
	551	96.5891	96.5891	100	
	552	100.888	100.888	100	
	553	105.893	105.893	100	
	554	104.974	104.974	100	
	555	99.1639	99.1639	100	
	556	90.48	90.48	100	
	557	78.2478	78.2478	100	
	558	68.5489	68.5489	100	
	559	126.773	126.773	100	
	560	127.596	127.596	100	
	561	128.273	128.273	100	
	562	128.328	128.328	100	
	563	130.837	130.837	100	
	564	123.654	123.654	100	
	565	120.023	120.023	100	
	566	118.796	118.796	100	
	567	114.59	114.59	100	
	568	116.473	116.473	100	
	569	109.706	109.706	100	
	570	115.274	115.274	100	
	571	117.707	117.707	100	
	572	114.603	114.603	100	
	573	106.02	106.02	100	
	574	105.827	105.827	100	
	575	105.418	105.418	100	
	576	117.646	117.646	100	
	577	116.24	116.24	100	
	578	110.79	110.79	100	
	579	120.38	120.38	100	
	580	135.977	135.977	100	
	581	137.135	137.135	100	
	582	171.379	171.379	100	
	583	170.002	170.002	100	
	584	171.207	171.207	100	
	585	170.815	170.815	100	
	586	170.331	170.331	100	
	587	170.95	170.95	100	
	588	169.951	169.951	100	
	589	171.753	171.753	100	
	590	171.875	171.875	100	
	591	173.612	173.612	100	
	592	174.297	174.297	100	
	593	177.515	177.515	100	
	594	190.759	190.759	100	
	595	195.472	195.472	100	
	596	195.203	195.203	100	
	597	185.291	185.291	100	
	598	184.14	184.14	100	
	599	179.986	179.986	100	
	600	174.265	174.265	100	
	601	173.459	173.459	100	
	602	168.778	168.778	100	
	603	169.167	169.167	100	
	604	165.862	165.862	100	
	605	165.281	165.281	100	
	606	166.136	166.136	100	
	607	168.031	168.031	100	
	608	167.638	167.638	100	
	609	168.288	168.288	100	
	610	169.154	169.154	100	
	611	169.146	169.146	100	
	612	168.981	168.981	100	
	613	169.159	169.159	100	
	614	169.028	169.028	100	
	615	169.326	169.326	100	
	616	169.232	169.232	100	
	617	169.287	169.287	100	
	618	169.223	169.223	100	
	619	169.84	169.84	100	
	620	170.102	170.102	100	
	621	169.258	169.258	100	
	622	170.987	170.987	100	
	623	172.267	172.267	100	
	624	174.779	174.779	100	
	625	175.917	175.917	100	
	626	180.521	180.521	100	
	627	184.215	184.215	100	
	628	184.402	184.402	100	
	629	185.272	185.272	100	
	630	186.398	186.398	100	
	631	185.974	185.974	100	
	632	188.268	188.268	100	
	633	188.878	188.878	100	
	634	188.848	188.848	100	
	635	187.734	187.734	100	
	636	188.298	188.298	100	
	637	185.605	185.605	100	
	638	187.65	187.65	100	
	639	188.351	188.351	100	
	640	188.656	188.656	100	
	641	193.331	193.331	100	
	642	180.989	180.989	100	
	643	177.569	177.569	100	
	644	177.423	177.423	100	
	645	177.139	177.139	100	
	646	177.354	177.354	100	
	647	178.882	178.882	100	
	648	185.175	185.175	100	
	649	183.637	183.637	100	
	650	179.287	179.287	100	
	651	179.909	179.909	100	
	652	178.612	178.612	100	
	653	175.204	175.204	100	
	654	182.114	182.114	100	
	655	188.426	188.426	100	
	656	192.775	192.775	100	
	657	195.881	195.881	100	
	658	197.053	197.053	100	
	659	196.586	196.586	100	
	660	197.176	197.176	100	
	661	196.107	196.107	100	
	662	199.096	199.096	100	
	663	198.074	198.074	100	
	664	201.978	201.978	100	
	665	207.569	207.569	100	
	666	208.933	208.933	100	
	667	209.919	209.919	100	
	668	207.062	207.062	100	
	669	210.068	210.068	100	
	670	207.857	207.857	100	
	671	216.378	216.378	100	
	672	218.436	218.436	100	
	673	222.092	222.092	100	
	674	223.919	223.919	100	
	675	226.567	226.567	100	
	676	228.91	228.91	100	
	677	226.307	226.307	100	
	678	227.701	227.701	100	
	679	230.809	230.809	100	
	680	226.762	226.762	100	
	681	225.847	225.847	100	
	682	225.481	225.481	100	
	683	228.704	228.704	100	
	684	234.311	234.311	100	
	685	231.37	231.37	100	
	686	236.071	236.071	100	
	687	231.56	231.56	100	
	688	228.434	228.434	100	
	689	234.361	234.361	100	
	690	230.277	230.277	100	
	691	228.446	228.446	100	
	692	222.177	222.177	100	
	693	225.91	225.91	100	
	694	231.625	231.625	100	
	695	237.714	237.714	100	
	696	244.276	244.276	100	
	697	243.581	243.581	100	
	698	247.11	247.11	100	
	699	250.182	250.182	100	
	700	254.268	254.268	100	
	701	257.907	257.907	100	
	702	262.36	262.36	100	
	703	265.754	265.754	100	
	704	279.872	279.872	100	
	705	282.659	282.659	100	
	706	283.353	283.353	100	
	707	277.442	277.442	100	
	708	275.543	275.543	100	
	709	267.7	267.7	100	
	710	259.149	259.149	100	
	711	251.584	251.584	100	
	712	241.612	241.612	100	
	713	236.403	236.403	100	
	714	226.242	226.242	100	
	715	220.367	220.367	100	
	716	219.954	219.954	100	
	717	214.493	214.493	100	
	718	212.005	212.005	100	
	719	209.859	209.859	100	
	720	209.22	209.22	100	
	721	203.458	203.458	100	
	722	203.107	203.107	100	
	723	203.815	203.815	100	
	724	205.313	205.313	100	
	725	201.638	201.638	100	
	726	200.874	200.874	100	
	727	199.325	199.325	100	
	728	198.476	198.476	100	
	729	190.335	190.335	100	
	730	189.787	189.787	100	
	731	188.731	188.731	100	
	732	187.462	187.462	100	
	733	189.001	189.001	100	
	734	186.289	186.289	100	
	735	186.495	186.495	100	
	736	185.101	185.101	100	
	737	187.522	187.522	100	
	738	190.506	190.506	100	
	739	188.419	188.419	100	
	740	190.869	190.869	100	
	741	193.143	193.143	100	
	742	190.952	190.952	100	
	743	190.3	190.3	100	
	744	188.471	188.471	100	
	745	185.831	185.831	100	
	746	182.355	182.355	100	
	747	177.845	177.845	100	
	748	175.232	175.232	100	
	749	170.813	170.813	100	
	750	168.352	168.352	100	
	751	168.293	168.293	100	
	752	165.925	165.925	100	
	753	167.172	167.172	100	
	754	168.821	168.821	100	
	755	166.298	166.298	100	
	756	167.749	167.749	100	
	757	168.744	168.744	100	
	758	161.74	161.74	100	
	759	172.283	172.283	100	
	760	181.693	181.693	100	
	761	189.042	189.042	100	
	762	180.165	180.165	100	
	763	180.207	180.207	100	
	764	177.493	177.493	100	
	765	197.669	197.669	100	
	766	193.949	193.949	100	
	767	194.841	194.841	100	
	768	193.575	193.575	100	
	769	196.578	196.578	100	
	770	190.236	190.236	100	
	771	192.593	192.593	100	
	772	195.043	195.043	100	
	773	194.842	194.842	100	
	774	195.043	195.043	100	
	775	201.891	201.891	100	
	776	205.227	205.227	100	
	777	215.202	215.202	100	
	778	220.22	220.22	100	
	779	224.761	224.761	100	
	780	223.175	223.175	100	
	781	220.968	220.968	100	
	782	217.7	217.7	100	
	783	217.189	217.189	100	
	784	218.289	218.289	100	
	785	218.957	218.957	100	
	786	217.211	217.211	100	
	787	219.791	219.791	100	
	788	217.092	217.092	100	
	789	216.049	216.049	100	
	790	213.828	213.828	100	
	791	216.332	216.332	100	
	792	212.644	212.644	100	
	793	212.028	212.028	100	
	794	210.691	210.691	100	
	795	209.968	209.968	100	
	796	211.704	211.704	100	
	797	212.113	212.113	100	
	798	209.044	209.044	100	
	799	209.957	209.957	100	
	800	207.722	207.722	100	
	801	201.606	201.606	100	
	802	201.853	201.853	100	
	803	198.263	198.263	100	
	804	201.92	201.92	100	
	805	199.2	199.2	100	
	806	191.799	191.799	100	
	807	189.299	189.299	100	
	808	187.091	187.091	100	
	809	186.968	186.968	100	
	810	192.265	192.265	100	
	811	191.962	191.962	100	
	812	186.15	186.15	100	
	813	182.894	182.894	100	
	814	186.128	186.128	100	
	815	191.504	191.504	100	
	816	192.594	192.594	100	
	817	196.274	196.274	100	
	818	203.918	203.918	100	
	819	211.211	211.211	100	
	820	212.061	212.061	100	
	821	214.721	214.721	100	
	822	217.198	217.198	100	
	823	217.494	217.494	100	
	824	218.728	218.728	100	
	825	214.271	214.271	100	
	826	206.261	206.261	100	
	827	205.25	205.25	100	
	828	199.08	199.08	100	
	829	200.566	200.566	100	
	830	197.726	197.726	100	
	831	198.303	198.303	100	
	832	200.867	200.867	100	
	833	199.416	199.416	100	
	834	203.281	203.281	100	
	835	202.174	202.174	100	
	836	198.477	198.477	100	
	837	199.04	199.04	100	
	838	198.476	198.476	100	
	839	199.071	199.071	100	
	840	198.897	198.897	100	
	841	201.239	201.239	100	
	842	202.649	202.649	100	
	843	202.578	202.578	100	
	844	205.68	205.68	100	
	845	202.772	202.772	100	
	846	204.603	204.603	100	
	847	199.527	199.527	100	
	848	199.446	199.446	100	
	849	199.656	199.656	100	
	850	200.107	200.107	100	
	851	201.449	201.449	100	
	852	203.678	203.678	100	
	853	204.247	204.247	100	
	854	207.525	207.525	100	
	855	212.701	212.701	100	
	856	209.955	209.955	100	
	857	208.831	208.831	100	
	858	210.506	210.506	100	
	859	206.44	206.44	100	
	860	207.366	207.366	100	
	861	207.718	207.718	100	
	862	208.09	208.09	100	
	863	207.511	207.511	100	
	864	204.357	204.357	100	
	865	203.373	203.373	100	
	866	203.543	203.543	100	
	867	200.697	200.697	100	
	868	200.122	200.122	100	
	869	202.112	202.112	100	
	870	199.423	199.423	100	
	871	198.823	198.823	100	
	872	199.171	199.171	100	
	873	197.239	197.239	100	
	874	196.863	196.863	100	
	875	203.374	203.374	100	
	876	204.428	204.428	100	
	877	203.284	203.284	100	
	878	200.48	200.48	100	
	879	197.809	197.809	100	
	880	195.055	195.055	100	
	881	190.902	190.902	100	
	882	188.116	188.116	100	
	883	184.911	184.911	100	
	884	183.851	183.851	100	
	885	182.423	182.423	100	
	886	182.435	182.435	100	
	887	181.058	181.058	100	
	888	182.254	182.254	100	
	889	183.935	183.935	100	
	890	184.42	184.42	100	
	891	188.379	188.379	100	
	892	190.614	190.614	100	
	893	191.754	191.754	100	
	894	191.397	191.397	100	
	895	192.403	192.403	100	
	896	193.164	193.164	100	
	897	194.562	194.562	100	
	898	195.563	195.563	100	
	899	195.321	195.321	100	
	900	195.167	195.167	100	
	901	201.674	201.674	100	
	902	205.279	205.279	100	
	903	214.083	214.083	100	
	904	216.772	216.772	100	
	905	217.591	217.591	100	
	906	216.803	216.803	100	
	907	217.405	217.405	100	
	908	216.702	216.702	100	
	909	214.631	214.631	100	
	910	213.204	213.204	100	
	911	212.918	212.918	100	
	912	209.548	209.548	100	
	913	201.414	201.414	100	
	914	208.773	208.773	100	
	915	201.056	201.056	100	
	916	187.47	187.47	100	
	917	180.865	180.865	100	
	918	176.984	176.984	100	
	919	174.001	174.001	100	
	920	171.517	171.517	100	
	921	172.882	172.882	100	
	922	172.148	172.148	100	
	923	171.315	171.315	100	
	924	171.116	171.116	100	
	925	168.631	168.631	100	
	926	167.832	167.832	100	
	927	164.876	164.876	100	
	928	169.005	169.005	100	
	929	167.593	167.593	100	
	930	162.881	162.881	100	
	931	157.531	157.531	100	
	932	147.257	147.257	100	
	933	147.073	147.073	100	
	934	146.527	146.527	100	
	935	146.029	146.029	100	
	936	146.041	146.041	100	
	937	145.431	145.431	100	
	938	144.866	144.866	100	
	939	143.163	143.163	100	
	940	144.704	144.704	100	
	941	159.727	159.727	100	
	942	174.94	174.94	100	
	943	183.346	183.346	100	
	944	181.234	181.234	100	
	945	178.497	178.497	100	
	946	174.538	174.538	100	
	947	171.992	171.992	100	
	948	169.345	169.345	100	
	949	165.95	165.95	100	
	950	179.009	179.009	100	
	951	178.667	178.667	100	
	952	169.613	169.613	100	
	953	171.727	171.727	100	
	954	169.464	169.464	100	
	955	163.962	163.962	100	
	956	168.868	168.868	100	
	957	171.014	171.014	100	
	958	164.33	164.33	100	
	959	169.12	169.12	100	
	960	168.255	168.255	100	
	961	159.539	159.539	100	
	962	151.566	151.566	100	
	963	149.611	149.611	100	
	964	148.029	148.029	100	
	965	147.481	147.481	100	
	966	147.529	147.529	100	
	967	148.857	148.857	100	
	968	150.14	150.14	100	
	969	136.305	136.305	100	
	970	129.467	129.467	100	
	971	125.872	125.872	100	
	972	127.562	127.562	100	
	973	133.497	133.497	100	
	974	133.96	133.96	100	
	975	130.357	130.357	100	
	976	130.457	130.457	100	
	977	125.369	125.369	100	
	978	130.669	130.669	100	
	979	131.251	131.251	100	
	980	134.52	134.52	100	
	981	119.487	119.487	100	
	982	111.848	111.848	100	
	983	103.649	103.649	100	
	984	99.3443	99.3443	100	
	985	93.411	93.411	100	
	986	156.358	156.358	100	
	987	158.846	158.846	100	
	988	161.254	161.254	100	
	989	162.614	162.614	100	
	990	163.21	163.21	100	
	991	165.137	165.137	100	
	992	167.137	167.137	100	
	993	165.636	165.636	100	
	994	167.56	167.56	100	
	995	171.168	171.168	100	
	996	183.786	183.786	100	
	997	176.571	176.571	100	
	998	170.046	170.046	100	
	999	163.695	163.695	100	
	1000	159.043	159.043	100	
	1001	158.847	158.847	100	
	1002	162.565	162.565	100	
	1003	176.853	176.853	100	
	1004	179.799	179.799	100	
	1005	188.351	188.351	100	
	1006	204.778	204.778	100	
	1007	169.511	169.511	100	
	1008	166.92	166.92	100	
	1009	165.988	165.988	100	
	1010	161.978	161.978	100	
	1011	167.93	167.93	100	
	1012	167.214	167.214	100	
	1013	168.337	168.337	100	
	1014	166.525	166.525	100	
	1015	167.811	167.811	100	
	1016	166.264	166.264	100	
	1017	163.761	163.761	100	
	1018	162.954	162.954	100	
	1019	162.973	162.973	100	
	1020	164.923	164.923	100	
	1021	173.085	173.085	100	
	1022	165.069	165.069	100	
	1023	165.015	165.015	100	
	1024	174.964	174.964	100	
	1025	175.398	175.398	100	
	1026	180.547	180.547	100	
	1027	191.297	191.297	100	
	1028	200.622	200.622	100	
	1029	208.674	208.674	100	
	1030	213.277	213.277	100	
	1031	218.932	218.932	100	
	1032	219.059	219.059	100	
	1033	153.237	153.237	100	
	1034	153.705	153.705	100	
	1035	155.482	155.482	100	
	1036	154.986	154.986	100	
	1037	153.309	153.309	100	
	1038	154.309	154.309	100	
	1039	152.707	152.707	100	
	1040	153.254	153.254	100	
	1041	154.279	154.279	100	
	1042	153.352	153.352	100	
	1043	153.949	153.949	100	
	1044	154.064	154.064	100	
	1045	151.812	151.812	100	
	1046	153.487	153.487	100	
	1047	152.659	152.659	100	
	1048	154.478	154.478	100	
	1049	155.149	155.149	100	
	1050	155.74	155.74	100	
	1051	151.264	151.264	100	
	1052	150.204	150.204	100	
	1053	154.687	154.687	100	
	1054	156.654	156.654	100	
	1055	150.239	150.239	100	
	1056	138.772	138.772	100	
	1057	138.217	138.217	100	
	1058	127.774	127.774	100	
	1059	129.555	129.555	100	
	1060	121.726	121.726	100	
	1061	120.425	120.425	100	
	1062	118.399	118.399	100	
	1063	118.374	118.374	100	
	1064	120.417	120.417	100	
	1065	161.742	161.742	100	
	1066	161.179	161.179	100	
	1067	159.706	159.706	100	
	1068	162.028	162.028	100	
	1069	165.013	165.013	100	
	1070	168.572	168.572	100	
	1071	167.566	167.566	100	
	1072	168.792	168.792	100	
	1073	170.828	170.828	100	
	1074	166.585	166.585	100	
	1075	165.26	165.26	100	
	1076	168.377	168.377	100	
	1077	168.157	168.157	100	
	1078	164.723	164.723	100	
	1079	163.975	163.975	100	
	1080	160.671	160.671	100	
	1081	157.36	157.36	100	
	1082	157.524	157.524	100	
	1083	165.781	165.781	100	
	1084	171.153	171.153	100	
	1085	178.936	178.936	100	
	1086	177.07	177.07	100	
	1087	171.318	171.318	100	
	1088	165.306	165.306	100	
	1089	157.72	157.72	100	
	1090	150.586	150.586	100	
	1091	138.037	138.037	100	
	1092	137.154	137.154	100	
	1093	135.946	135.946	100	
	1094	136.611	136.611	100	
	1095	133.768	133.768	100	
	1096	130.012	130.012	100	
	1097	131.155	131.155	100	
	1098	131.665	131.665	100	
	1099	135.342	135.342	100	
	1100	137.375	137.375	100	
	1101	137.979	137.979	100	
	1102	191.376	191.376	100	
	1103	189.105	189.105	100	
	1104	185.229	185.229	100	
	1105	184.787	184.787	100	
	1106	195.388	195.388	100	
	1107	203.154	203.154	100	
	1108	208.565	208.565	100	
	1109	219.95	219.95	100	
	1110	221.178	221.178	100	
	1111	224.448	224.448	100	
	1112	220.825	220.825	100	
	1113	214.085	214.085	100	
	1114	207.818	207.818	100	
	1115	196.335	196.335	100	
	1116	185.39	185.39	100	
	1117	183.269	183.269	100	
	1118	184.476	184.476	100	
	1119	189.447	189.447	100	
	1120	187.784	187.784	100	
	1121	185.568	185.568	100	
	1122	187.34	187.34	100	
	1123	193.067	193.067	100	
	1124	192.888	192.888	100	
	1125	234.793	234.793	100	
	1126	227.761	227.761	100	
	1127	225.478	225.478	100	
	1128	231.008	231.008	100	
	1129	227.018	227.018	100	
	1130	234.722	234.722	100	
	1131	235.363	235.363	100	
