Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	280	100	100	100	
	281	99.9971	99.9971	100	
	282	99.9971	99.9971	100	
	283	99.9942	99.9942	100	
	284	99.9942	99.9942	100	
	285	99.9971	99.9971	100	
	286	99.9971	99.9971	100	
	287	99.9971	99.9971	100	
	288	100	100	100	
	289	100	100	100	
	290	100.003	100.003	100	
	291	100.003	100.003	100	
	292	100.003	100.003	100	
	293	100.006	100.006	100	
	294	100.006	100.006	100	
	295	100.006	100.006	100	
	296	100.006	100.006	100	
	297	100.006	100.006	100	
	298	100.006	100.006	100	
	299	100.006	100.006	100	
	300	100.009	100.009	100	
	301	100.009	100.009	100	
	302	100.006	100.006	100	
	303	100.006	100.006	100	
	304	100.009	100.009	100	
	305	100.009	100.009	100	
	306	100.009	100.009	100	
	307	100.011	100.011	100	
	308	100.009	100.009	100	
	309	100.006	100.006	100	
	310	100.009	100.009	100	
	311	100.009	100.009	100	
	312	100.009	100.009	100	
	313	100.006	100.006	100	
	314	100.009	100.009	100	
	315	100.009	100.009	100	
	316	100.006	100.006	100	
	317	100.006	100.006	100	
	318	100.006	100.006	100	
	319	100.006	100.006	100	
	320	100.006	100.006	100	
	321	100.003	100.003	100	
	322	100.003	100.003	100	
	323	100.003	100.003	100	
	324	100	100	100	
	325	100.003	100.003	100	
	326	100	100	100	
	327	100.003	100.003	100	
	328	100.003	100.003	100	
	329	100.006	100.006	100	
	330	100.006	100.006	100	
	331	100.006	100.006	100	
	332	100.012	100.012	100	
	333	100.009	100.009	100	
	334	100.009	100.009	100	
	335	100.009	100.009	100	
	336	100.012	100.012	100	
	337	100.009	100.009	100	
	338	100.009	100.009	100	
	339	100.003	100.003	100	
	340	100.02	100.02	100	
	341	100.124	100.124	100	
	342	100.132	100.132	100	
	343	100.133	100.133	100	
	344	100.144	100.144	100	
	345	100.156	100.156	100	
	346	100.161	100.161	100	
	347	100.158	100.158	100	
	348	100.161	100.161	100	
	349	100.138	100.138	100	
	350	100.11	100.11	100	
	351	100.089	100.089	100	
	352	100.072	100.072	100	
	353	100.049	100.049	100	
	354	100.061	100.061	100	
	355	100.052	100.052	100	
	356	100.026	100.026	100	
	357	100.04	100.04	100	
	358	100.035	100.035	100	
	359	100.015	100.015	100	
	360	100.012	100.012	100	
	361	100.032	100.032	100	
	362	100.037	100.037	100	
	363	100.02	100.02	100	
	364	100.012	100.012	100	
	365	100.017	100.017	100	
	366	100.02	100.02	100	
	367	100.037	100.037	100	
	368	100.052	100.052	100	
