Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	197	100	100	100	
	198	100	100	100	
	199	100	100	100	
	200	100	100	100	
	201	100	100	100	
	202	100	100	100	
	203	100	100	100	
	204	100	100	100	
	205	100	100	100	
	206	100	100	100	
	207	100	100	100	
	208	100	100	100	
	209	100	100	100	
	210	100	100	100	
	211	100	100	100	
	212	100	100	100	
	213	100	100	100	
	214	100	100	100	
	215	100	100	100	
	216	100	100	100	
	217	100	100	100	
	218	100	100	100	
	219	100	100	100	
	220	100.004	100.004	100	
	221	99.9887	99.9887	100	
	222	99.9249	99.9249	100	
	223	99.8086	99.8086	100	
	224	99.7073	99.7073	100	
	225	99.6361	99.6361	100	
	226	99.5985	99.5985	100	
	227	99.5685	99.5685	100	
	228	99.546	99.546	100	
	229	99.531	99.531	100	
	230	99.5273	99.5273	100	
	231	99.5198	99.5198	100	
	232	99.5085	99.5085	100	
	233	99.501	99.501	100	
	234	99.501	99.501	100	
	235	99.486	99.486	100	
	236	99.4823	99.4823	100	
	237	99.4785	99.4785	100	
	238	99.471	99.471	100	
	239	99.4673	99.4673	100	
	240	99.4673	99.4673	100	
	241	99.4598	99.4598	100	
	242	99.4635	99.4635	100	
	243	99.4636	99.4636	100	
	244	99.4636	99.4636	100	
	245	99.4636	99.4636	100	
	246	99.4598	99.4598	100	
	247	99.4448	99.4448	100	
	248	99.4486	99.4486	100	
	249	99.4523	99.4523	100	
	250	99.4525	99.4525	100	
	251	99.4525	99.4525	100	
	252	99.4488	99.4488	100	
	253	99.4525	99.4525	100	
	254	99.4488	99.4488	100	
	255	99.4525	99.4525	100	
	256	99.4563	99.4563	100	
	257	99.4563	99.4563	100	
	258	99.4601	99.4601	100	
	259	99.4601	99.4601	100	
	260	99.46	99.46	100	
	261	99.4562	99.4562	100	
	262	99.46	99.46	100	
	263	99.4524	99.4524	100	
	264	99.4562	99.4562	100	
	265	99.4599	99.4599	100	
	266	99.4562	99.4562	100	
	267	99.4524	99.4524	100	
	268	99.4524	99.4524	100	
	269	99.4524	99.4524	100	
	270	99.4524	99.4524	100	
	271	99.4524	99.4524	100	
	272	99.4524	99.4524	100	
	273	99.4449	99.4449	100	
	274	99.4449	99.4449	100	
	275	99.4449	99.4449	100	
	276	99.4373	99.4373	100	
	277	99.4373	99.4373	100	
	278	99.4411	99.4411	100	
	279	99.4448	99.4448	100	
	280	99.4411	99.4411	100	
	281	99.4411	99.4411	100	
	282	99.4448	99.4448	100	
	283	99.4411	99.4411	100	
	284	99.4373	99.4373	100	
	285	99.4373	99.4373	100	
	286	99.4411	99.4411	100	
	287	99.4411	99.4411	100	
	288	99.4411	99.4411	100	
	289	99.4411	99.4411	100	
	290	99.4448	99.4448	100	
	291	99.441	99.441	100	
	292	99.4448	99.4448	100	
	293	99.4448	99.4448	100	
	294	99.4485	99.4485	100	
	295	99.4448	99.4448	100	
	296	99.4448	99.4448	100	
	297	99.4448	99.4448	100	
	298	99.4448	99.4448	100	
	299	99.4524	99.4524	100	
	300	99.4637	99.4637	100	
	301	99.4825	99.4825	100	
	302	99.4788	99.4788	100	
	303	99.4676	99.4676	100	
	304	99.4678	99.4678	100	
	305	99.4449	99.4449	100	
	306	99.4075	99.4075	100	
	307	99.3588	99.3588	100	
	308	99.2688	99.2688	100	
	309	99.539	99.539	100	
	310	99.4641	99.4641	100	
	311	99.3779	99.3779	100	
	312	99.3136	99.3136	100	
	313	99.3099	99.3099	100	
	314	99.3175	99.3175	100	
	315	99.3513	99.3513	100	
	316	99.3701	99.3701	100	
	317	99.3401	99.3401	100	
	318	99.3404	99.3404	100	
	319	99.2873	99.2873	100	
	320	99.1748	99.1748	100	
	321	99.036	99.036	100	
	322	99.3775	99.3775	100	
	323	99.3062	99.3062	100	
	324	99.2836	99.2836	100	
	325	99.2986	99.2986	100	
	326	99.3326	99.3326	100	
	327	99.366	99.366	100	
	328	99.4073	99.4073	100	
	329	99.4073	99.4073	100	
	330	99.4037	99.4037	100	
	331	99.3249	99.3249	100	
	332	99.6663	99.6663	100	
	333	99.5875	99.5875	100	
	334	99.4935	99.4935	100	
	335	99.4373	99.4373	100	
	336	99.4148	99.4148	100	
	337	99.4299	99.4299	100	
	338	99.4562	99.4562	100	
	339	99.4861	99.4861	100	
	340	99.5126	99.5126	100	
	341	99.5123	99.5123	100	
	342	99.486	99.486	100	
	343	99.5048	99.5048	100	
	344	99.7938	99.7938	100	
	345	99.7337	99.7337	100	
	346	99.6587	99.6587	100	
	347	99.5723	99.5723	100	
	348	99.5047	99.5047	100	
	349	99.4672	99.4672	100	
	350	99.4373	99.4373	100	
	351	99.426	99.426	100	
	352	99.426	99.426	100	
	353	99.441	99.441	100	
	354	99.4598	99.4598	100	
	355	99.4597	99.4597	100	
	356	99.4747	99.4747	100	
	357	99.471	99.471	100	
	358	99.4897	99.4897	100	
	359	99.4935	99.4935	100	
	360	99.5051	99.5051	100	
	361	99.5235	99.5235	100	
	362	99.546	99.546	100	
	363	99.5686	99.5686	100	
	364	99.5836	99.5836	100	
	365	99.5948	99.5948	100	
	366	99.6023	99.6023	100	
	367	99.6023	99.6023	100	
	368	99.5985	99.5985	100	
	369	99.5948	99.5948	100	
	370	99.5836	99.5836	100	
	371	99.576	99.576	100	
	372	99.546	99.546	100	
	373	99.5498	99.5498	100	
	374	99.5536	99.5536	100	
	375	99.5535	99.5535	100	
	376	99.3359	99.3359	100	
	377	98.98	98.98	100	
	378	98.4468	98.4468	100	
	379	98.1504	98.1504	100	
	380	97.7943	97.7943	100	
	381	97.7204	97.7204	100	
	382	97.2331	97.2331	100	
	383	97.1021	97.1021	100	
	384	97.2275	97.2275	100	
	385	97.3636	97.3636	100	
	386	97.5225	97.5225	100	
	387	97.6182	97.6182	100	
	388	97.7095	97.7095	100	
	389	97.7893	97.7893	100	
	390	97.6154	97.6154	100	
	391	97.4652	97.4652	100	
	392	97.5228	97.5228	100	
	393	97.6858	97.6858	100	
	394	97.8756	97.8756	100	
	395	97.9217	97.9217	100	
	396	98.034	98.034	100	
