Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	280	100	100	100	
	281	100	100	100	
	282	100	100	100	
	283	100.003	100.003	100	
	284	100.005	100.005	100	
	285	100.008	100.008	100	
	286	100.008	100.008	100	
	287	100.008	100.008	100	
	288	100.008	100.008	100	
	289	100.005	100.005	100	
	290	100.005	100.005	100	
	291	100	100	100	
	292	100	100	100	
	293	100	100	100	
	294	100	100	100	
	295	100	100	100	
	296	100	100	100	
	297	100	100	100	
	298	100	100	100	
	299	99.9975	99.9975	100	
	300	99.99	99.99	100	
	301	99.9874	99.9874	100	
	302	99.9799	99.9799	100	
	303	99.9699	99.9699	100	
	304	99.9699	99.9699	100	
	305	99.9648	99.9648	100	
	306	99.9674	99.9674	100	
	307	99.9648	99.9648	100	
	308	99.9548	99.9548	100	
	309	99.9523	99.9523	100	
	310	99.9523	99.9523	100	
	311	99.9548	99.9548	100	
	312	99.9548	99.9548	100	
	313	99.9548	99.9548	100	
	314	99.9523	99.9523	100	
	315	99.9473	99.9473	100	
	316	99.9473	99.9473	100	
	317	99.9447	99.9447	100	
	318	99.9422	99.9422	100	
	319	99.9422	99.9422	100	
	320	99.9397	99.9397	100	
	321	99.9372	99.9372	100	
	322	99.9372	99.9372	100	
	323	99.9372	99.9372	100	
	324	99.9347	99.9347	100	
	325	99.9322	99.9322	100	
	326	99.9322	99.9322	100	
	327	99.9297	99.9297	100	
	328	99.9322	99.9322	100	
	329	99.9322	99.9322	100	
	330	99.9297	99.9297	100	
	331	99.9272	99.9272	100	
	332	99.9247	99.9247	100	
	333	99.9247	99.9247	100	
	334	99.9221	99.9221	100	
	335	99.9221	99.9221	100	
	336	99.9171	99.9171	100	
	337	99.9146	99.9146	100	
	338	99.9146	99.9146	100	
	339	99.9121	99.9121	100	
	340	99.9121	99.9121	100	
	341	99.9121	99.9121	100	
	342	99.9096	99.9096	100	
	343	99.9096	99.9096	100	
	344	99.9096	99.9096	100	
	345	99.9096	99.9096	100	
	346	99.9121	99.9121	100	
	347	99.9121	99.9121	100	
	348	99.9096	99.9096	100	
	349	99.9096	99.9096	100	
	350	99.9121	99.9121	100	
	351	99.9146	99.9146	100	
	352	99.9146	99.9146	100	
	353	99.9146	99.9146	100	
	354	99.9171	99.9171	100	
	355	99.9146	99.9146	100	
	356	99.9171	99.9171	100	
	357	99.9171	99.9171	100	
	358	99.9171	99.9171	100	
	359	99.9171	99.9171	100	
	360	99.9171	99.9171	100	
	361	99.9146	99.9146	100	
	362	99.9171	99.9171	100	
	363	99.9221	99.9221	100	
	364	99.9221	99.9221	100	
	365	99.9247	99.9247	100	
	366	99.9221	99.9221	100	
	367	99.9196	99.9196	100	
	368	99.9171	99.9171	100	
	369	99.9196	99.9196	100	
	370	99.9221	99.9221	100	
	371	99.9196	99.9196	100	
	372	99.9196	99.9196	100	
	373	99.9221	99.9221	100	
	374	99.9196	99.9196	100	
	375	99.9221	99.9221	100	
	376	99.9196	99.9196	100	
	377	99.9221	99.9221	100	
	378	99.9196	99.9196	100	
	379	99.9221	99.9221	100	
	380	99.9196	99.9196	100	
	381	99.9221	99.9221	100	
	382	99.9221	99.9221	100	
	383	99.9221	99.9221	100	
	384	99.9247	99.9247	100	
	385	99.9247	99.9247	100	
	386	99.9247	99.9247	100	
	387	99.9247	99.9247	100	
	388	99.9272	99.9272	100	
	389	99.9272	99.9272	100	
	390	99.9272	99.9272	100	
	391	99.9272	99.9272	100	
	392	99.9272	99.9272	100	
	393	99.9272	99.9272	100	
	394	99.9272	99.9272	100	
	395	99.9272	99.9272	100	
	396	99.9272	99.9272	100	
	397	99.9272	99.9272	100	
	398	99.9272	99.9272	100	
	399	99.9297	99.9297	100	
	400	99.9297	99.9297	100	
	401	99.9297	99.9297	100	
	402	99.9297	99.9297	100	
	403	99.9297	99.9297	100	
	404	99.9297	99.9297	100	
	405	99.9297	99.9297	100	
	406	99.9297	99.9297	100	
	407	99.9297	99.9297	100	
	408	99.9297	99.9297	100	
	409	99.9322	99.9322	100	
	410	99.9322	99.9322	100	
