Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Scale
	Frame	X percent	Y percent	Z percent	
	280	100	100	100	
	281	100	100	100	
	282	99.996	99.996	100	
	283	99.996	99.996	100	
	284	99.9961	99.9961	100	
	285	99.9961	99.9961	100	
	286	100	100	100	
	287	100	100	100	
	288	100	100	100	
	289	100.008	100.008	100	
	290	100	100	100	
	291	99.996	99.996	100	
	292	100	100	100	
	293	100.008	100.008	100	
	294	100.004	100.004	100	
	295	100.008	100.008	100	
	296	100.008	100.008	100	
	297	100.004	100.004	100	
	298	100.008	100.008	100	
	299	100.008	100.008	100	
	300	100.008	100.008	100	
	301	100.012	100.012	100	
	302	100.012	100.012	100	
	303	100.012	100.012	100	
	304	100.012	100.012	100	
	305	100.012	100.012	100	
	306	100.016	100.016	100	
	307	100.016	100.016	100	
	308	100.016	100.016	100	
	309	100.016	100.016	100	
	310	100.012	100.012	100	
	311	100.012	100.012	100	
	312	100.012	100.012	100	
	313	100.012	100.012	100	
	314	100.016	100.016	100	
	315	100.016	100.016	100	
	316	100.016	100.016	100	
	317	100.012	100.012	100	
	318	100.012	100.012	100	
	319	100.012	100.012	100	
	320	100.012	100.012	100	
	321	100.012	100.012	100	
	322	100.012	100.012	100	
	323	100.016	100.016	100	
	324	100.016	100.016	100	
	325	100.016	100.016	100	
	326	100.02	100.02	100	
	327	100.02	100.02	100	
	328	100.016	100.016	100	
	329	100.016	100.016	100	
	330	100.016	100.016	100	
	331	100.02	100.02	100	
	332	100.02	100.02	100	
	333	100.02	100.02	100	
	334	100.02	100.02	100	
	335	100.016	100.016	100	
	336	100.016	100.016	100	
	337	100.016	100.016	100	
	338	100.016	100.016	100	
	339	100.016	100.016	100	
	340	100.02	100.02	100	
	341	100.02	100.02	100	
	342	100.024	100.024	100	
	343	100.024	100.024	100	
	344	100.024	100.024	100	
	345	100.024	100.024	100	
	346	100.02	100.02	100	
	347	100.02	100.02	100	
	348	100.024	100.024	100	
	349	100.02	100.02	100	
	350	100.02	100.02	100	
	351	100.024	100.024	100	
	352	100.02	100.02	100	
	353	100.02	100.02	100	
	354	100.02	100.02	100	
	355	100.02	100.02	100	
	356	100.02	100.02	100	
	357	100.02	100.02	100	
	358	100.02	100.02	100	
	359	100.024	100.024	100	
	360	100.024	100.024	100	
	361	100.028	100.028	100	
	362	100.028	100.028	100	
	363	100.028	100.028	100	
	364	100.028	100.028	100	
	365	100.028	100.028	100	
	366	100.028	100.028	100	
	367	100.032	100.032	100	
	368	100.032	100.032	100	
	369	100.032	100.032	100	
	370	100.032	100.032	100	
	371	100.032	100.032	100	
	372	100.032	100.032	100	
	373	100.032	100.032	100	
	374	100.032	100.032	100	
	375	100.032	100.032	100	
	376	100.032	100.032	100	
	377	100.032	100.032	100	
	378	100.036	100.036	100	
	379	100.04	100.04	100	
	380	100.036	100.036	100	
	381	100.036	100.036	100	
	382	100.036	100.036	100	
	383	100.036	100.036	100	
	384	100.032	100.032	100	
	385	100.032	100.032	100	
	386	100.032	100.032	100	
	387	100.036	100.036	100	
	388	100.032	100.032	100	
	389	100.028	100.028	100	
	390	100.028	100.028	100	
	391	100.024	100.024	100	
	392	100.024	100.024	100	
	393	100.021	100.021	100	
	394	100.021	100.021	100	
	395	100.013	100.013	100	
	396	100.017	100.017	100	
	397	100.013	100.013	100	
	398	100.013	100.013	100	
	399	100.013	100.013	100	
	400	100.017	100.017	100	
	401	100.017	100.017	100	
	402	100.017	100.017	100	
	403	100.021	100.021	100	
	404	100.021	100.021	100	
	405	100.025	100.025	100	
	406	100.025	100.025	100	
	407	100.025	100.025	100	
	408	100.025	100.025	100	
	409	100.025	100.025	100	
	410	100.025	100.025	100	
	411	100.029	100.029	100	
	412	100.029	100.029	100	
	413	100.029	100.029	100	
	414	100.029	100.029	100	
	415	100.029	100.029	100	
	416	100.025	100.025	100	
	417	100.025	100.025	100	
	418	100.025	100.025	100	
	419	100.029	100.029	100	
	420	100.029	100.029	100	
	421	100.033	100.033	100	
	422	100.033	100.033	100	
	423	100.036	100.036	100	
	424	100.036	100.036	100	
	425	100.036	100.036	100	
