Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	133	1238.44	682.938	
	134	1238.25	683.188	
	135	1238.25	683.188	
	136	1238.25	683.188	
	137	1238.25	683.188	
	138	1238.25	683.188	
	139	1238.25	683.188	
	140	1238.25	683.188	
	141	1238.25	683.188	
	142	1238.25	683.188	
	143	1238.25	683.188	
	144	1238.25	683.188	
	145	1238.25	683.188	
	146	1238.25	683.188	
	147	1238.25	683.188	
	148	1238.25	683.188	
	149	1238.25	683.188	
	150	1238.25	683.188	
	151	1238.25	683.188	
	152	1238.25	683.188	
	153	1238.25	683.188	
	154	1238.25	683.188	
	155	1238.25	683.188	
	156	1238.25	683.188	
	157	1238.25	683.188	
	158	1238.25	683.188	
	159	1238.25	683.188	
	160	1238.25	683.188	
	161	1238.25	683.188	
	162	1238.25	683.188	
	163	1238.25	683.188	
	164	1238.25	683.188	
	165	1238.25	683.188	
	166	1238.25	683.188	
	167	1238.25	683.188	
	168	1238.25	683.188	
	169	1238.25	683.188	
	170	1238.25	683.188	
	171	1238.25	683.188	
	172	1238.25	683.188	
	173	1238.25	683.188	
	174	1238.25	683.188	
	175	1238.25	683.188	
	176	1238.25	683.188	
	177	1238.25	683.188	
	178	1238.25	683.188	
	179	1238.25	683.188	
	180	1238.25	683.188	
	181	1238.25	683.188	
	182	1238.25	683.188	
	183	1238.25	683.188	
	184	1238.25	683.188	
	185	1238.25	683.188	
	186	1238.25	683.188	
	187	1238.25	683.188	
	188	1238.25	683.188	
	189	1238.25	683.188	
	190	1238.25	683.188	
	191	1238.25	683.188	
	192	1238.25	683.188	
	193	1238.25	683.188	
	194	1238.25	683.188	
	195	1238.25	683.188	
	196	1238.25	683.188	
	197	1238.25	683.188	
	198	1238.25	683.188	
	199	1238.25	683.188	
	200	1238.25	683.188	
	201	1238.25	683.188	
	202	1238.25	683.188	
	203	1238.25	683.188	
	204	1238.25	683.188	
	205	1238.25	683.188	
	206	1238.25	683.188	
	207	1238.25	683.188	
	208	1238.25	683.188	
	209	1238.25	683.188	
	210	1238.25	683.188	
	211	1238.25	683.188	
	212	1238.25	683.188	
	213	1238.25	683.188	
	214	1238.25	683.188	
	215	1238.25	683.188	
	216	1238.25	683.188	
	217	1238.25	683.188	
	218	1238.25	683.188	
	219	1238.25	683.188	
	220	1238.25	683.188	
	221	1238.25	683.188	
	222	1238.25	683.188	
	223	1238.25	683.188	
	224	1238.25	683.188	
	225	1238.25	683.188	
	226	1238.25	683.188	
	227	1238.25	683.188	
	228	1238.25	683.188	
	229	1238.25	683.188	
	230	1238.25	683.188	
	231	1238.25	683.188	
	232	1238.25	683.188	
	233	1238.25	683.188	
	234	1238.06	683.438	
	235	1238.06	683.438	
	236	1238.06	683.438	
	237	1238.06	683.441	
	238	1238.06	683.441	
	239	1238.06	683.438	
	240	1238.05	683.438	
	241	1238.05	683.438	
	242	1238.05	683.438	
	243	1238.05	683.438	
	244	1238.05	683.438	
	245	1238.05	683.438	
	246	1238.04	683.438	
	247	1238.05	683.438	
	248	1236.02	683.438	
	249	1234.03	683.484	
	250	1232.06	683.715	
	251	1230.06	684.438	
	252	1228.25	684.805	
	253	1226.48	685.484	
	254	1224.61	686.438	
	255	1222.76	686.965	
	256	1220.93	687.492	
	257	1219.06	688.418	
	258	1217.07	688.645	
	259	1215.19	689.41	
	260	1213.3	689.488	
	261	1211.34	689.875	
	262	1209.37	690.332	
	263	1207.41	690.438	
	264	1205.44	690.438	
	265	1203.45	690.449	
	266	1201.44	690.516	
	267	1199.43	690.523	
	268	1197.43	690.516	
	269	1195.41	690.477	
	270	1193.39	690.438	
	271	1190.4	690.438	
	272	1187.39	690.254	
	273	1184.41	689.668	
	274	1181.43	689.438	
	275	1178.24	689.363	
	276	1175.26	688.906	
	277	1172.24	688.539	
	278	1169.24	688	
	279	1166.29	687.578	
	280	1163.3	687.035	
	281	1160.34	686.594	
	282	1157.35	686.035	
	283	1154.37	685.57	
	284	1151.34	685.016	
	285	1148.37	684.547	
	286	1145.36	684.012	
	287	1142.39	683.516	
	288	1139.41	682.867	
	289	1136.42	682.48	
	290	1133.45	681.813	
	291	1130.46	681.445	
	292	1127.51	680.77	
	293	1124.51	680.375	
	294	1121.59	679.707	
	295	1118.66	679.352	
	296	1115.71	678.754	
	297	1112.73	678.371	
	298	1109.8	677.84	
	299	1107.45	677.375	
	300	1105.05	676.977	
	301	1102.49	676.426	
	302	1100.21	676.016	
	303	1097.55	675.379	
	304	1095.25	674.918	
	305	1092.71	674.301	
	306	1090.4	673.742	
	307	1088.01	673.16	
	308	1085.43	672.574	
	309	1083.23	671.922	
	310	1080.6	671.352	
	311	1078.33	670.703	
	312	1075.89	670.102	
	313	1073.4	669.52	
	314	1071.2	668.84	
	315	1068.58	668.293	
	316	1066.29	667.66	
	317	1063.82	667.047	
	318	1061.36	666.473	
	319	1059.14	665.883	
	320	1056.47	665.211	
	321	1054.24	664.578	
	322	1051.74	663.91	
	323	1049.32	663.367	
	324	1047.06	662.703	
	325	1044.4	662.176	
	326	1042.24	661.586	
	327	1039.61	660.953	
	328	1037.27	660.406	
	329	1034.93	659.77	
	330	1032.34	659.25	
	331	1030.18	658.672	
	332	1027.49	658.145	
	333	1025.24	657.574	
	334	1022.73	657.023	
	335	1020.3	656.492	
	336	1018	656.02	
	337	1014.39	654.91	
	338	1011.24	653.781	
	339	1007.52	652.977	
	340	1004.2	651.859	
	341	1000.77	650.801	
	342	997.125	649.973	
	343	993.746	648.898	
	344	990.289	647.824	
	345	987.027	646.809	
	346	983.387	645.879	
	347	979.945	644.672	
	348	976.637	643.762	
	349	973.449	643.148	
	350	969.797	642.469	
	351	966.383	641.219	
	352	962.695	640.43	
	353	959.383	639.43	
	354	956.195	638.367	
	355	952.652	637.617	
	356	949.102	636.617	
	357	945.469	635.855	
	358	942.063	634.855	
	359	938.426	634.074	
	360	935.027	633.066	
	361	931.633	632.047	
	362	928.188	631.004	
	363	924.875	629.969	
	364	921.281	629.172	
	365	917.91	628.168	
	366	914.516	627.102	
	367	911.328	626.293	
	368	908.328	625.27	
	369	905.328	624.551	
	370	901.602	623.801	
	371	898.141	622.766	
	372	894.934	621.664	
	373	891.531	620.398	
	374	888.344	619.484	
	375	885.805	618.633	
	376	883.359	617.766	
	377	881.398	616.961	
	378	879.148	616.191	
	379	876.813	615.34	
	380	874.387	614.57	
	381	872.184	613.5	
	382	869.98	612.762	
	383	867.75	611.941	
	384	865.387	611.094	
	385	862.953	610.473	
	386	860.555	609.844	
	387	858.047	609.23	
	388	855.738	608.398	
