Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	215	373	550.5	
	216	372.875	550.375	
	217	372.875	550.375	
	218	372.875	550.375	
	219	372.875	550.375	
	220	372.875	550.375	
	221	372.875	550.375	
	222	372.875	550.375	
	223	372.875	550.375	
	224	372.875	550.375	
	225	372.875	550.375	
	226	372.875	550.375	
	227	372.875	550.375	
	228	372.875	550.375	
	229	372.871	550.375	
	230	372.875	550.375	
	231	372.875	550.375	
	232	372.871	550.375	
	233	372.871	550.375	
	234	372.871	550.375	
	235	372.871	550.375	
	236	372.871	550.375	
	237	372.871	550.375	
	238	372.871	550.375	
	239	372.871	550.375	
	240	372.871	550.375	
	241	372.871	550.375	
	242	372.871	550.375	
	243	372.871	550.375	
	244	372.871	550.375	
	245	372.871	550.375	
	246	372.875	550.375	
	247	372.875	550.375	
	248	372.875	550.375	
	249	372.875	550.375	
	250	370.875	550.98	
	251	368.914	551.41	
	252	366.965	552.078	
	253	365.215	552.406	
	254	363.469	553.121	
	255	361.707	553.418	
	256	359.875	554.113	
	257	357.875	554.473	
	258	355.875	555.117	
	259	353.887	555.492	
	260	351.762	555.961	
	261	349.863	556.367	
	262	348.051	556.977	
	263	346.328	557.367	
	264	344.594	557.965	
	265	342.691	558.383	
	266	340.75	558.953	
	267	338.738	559.422	
	268	336.762	559.969	
	269	334.785	560.441	
	270	332.871	561	
	271	331.141	561.457	
	272	329.461	562.008	
	273	327.645	562.496	
	274	325.762	563.012	
	275	323.73	563.578	
	276	321.762	564.063	
	277	319.797	564.633	
	278	317.863	565.184	
	279	316.125	565.695	
	280	314.383	566.254	
	281	312.66	566.711	
	282	310.762	567.266	
	283	308.828	567.699	
	284	306.809	568.293	
	285	304.84	568.719	
	286	302.941	569.313	
	287	301.098	569.77	
	288	299.414	570.293	
	289	297.762	571.004	
	290	295.836	571.469	
	291	293.926	572.07	
	292	291.953	572.539	
	293	290.055	573.258	
	294	288.211	574.113	
	295	286.574	574.965	
	296	285.574	576.215	
	297	287.238	577.047	
	298	287.848	577.523	
	299	287.859	578.496	
	300	287.578	579.324	
	301	286.867	580.238	
	302	286.27	581.156	
	303	285.582	582.059	
	304	284.953	582.742	
	305	284.215	583.516	
	306	283.445	584.23	
	307	282.707	584.711	
	308	282.16	585.359	
	309	281.477	586.18	
	310	280.719	586.707	
	311	280.172	587.355	
	312	279.48	588.18	
	313	278.82	588.766	
	314	278.273	589.391	
	315	277.535	590.254	
	316	276.684	590.922	
	317	276.328	591.57	
	318	275.414	592.371	
	319	274.75	593.328	
	320	274.184	593.902	
	321	273.285	594.699	
	322	273	595.641	
	323	272.75	596.504	
	324	273.063	597.414	
	325	273.883	598.055	
	326	274.609	598.492	
	327	275.281	598.969	
	328	276.113	599.371	
	329	276.992	599.723	
	330	277.695	599.887	
	331	278.359	600.016	
	332	279.156	600.066	
	333	280.016	600.082	
	334	280.637	600.129	
	335	281.254	600.125	
	336	282.109	600.098	
	337	282.75	600.086	
	338	283.332	600.063	
	339	284.125	600.016	
	340	284.754	599.98	
	341	285.383	599.949	
	342	286.125	599.93	
	343	286.965	599.906	
	344	287.516	599.902	
	345	288.195	599.887	
	346	289.051	599.848	
	347	289.699	599.828	
	348	290.25	599.824	
	349	291.098	599.801	
	350	291.793	599.793	
	351	292.375	599.813	
	352	293.133	599.813	
	353	293.953	599.805	
	354	294.516	599.836	
	355	295.176	599.848	
	356	296.051	599.84	
	357	296.691	599.863	
	358	297.316	599.883	
	359	298.148	599.926	
	360	299.148	599.926	
	361	299.938	599.852	
	362	300.52	599.684	
	363	301.223	600.051	
	364	302.008	600.191	
	365	302.723	600.301	
	366	303.34	600.535	
	367	304.188	600.758	
	368	307.887	600.777	
	369	311.34	600.793	
	370	315.098	600.828	
	371	318.613	600.887	
	372	322.152	600.957	
	373	325.813	600.965	
	374	329.441	600.953	
	375	333.313	600.574	
	376	337.125	600.258	
	377	340.629	600.133	
	378	344.148	599.922	
	379	347.691	599.863	
	380	351.316	599.816	
	381	355.004	599.793	
	382	358.504	599.746	
	383	362.188	599.668	
	384	365.844	599.574	
	385	369.477	599.453	
	386	373.137	599.332	
	387	376.648	599.219	
