Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	197	1500.5	562.25	
	198	1500.5	562.25	
	199	1500.5	562.25	
	200	1500.5	562.25	
	201	1500.5	562.25	
	202	1500.5	562.25	
	203	1500.5	562.25	
	204	1500.5	562.25	
	205	1500.5	562.25	
	206	1500.5	562.25	
	207	1500.5	562.25	
	208	1500.5	562.25	
	209	1500.5	562.25	
	210	1500.5	562.25	
	211	1500.5	562.25	
	212	1500.5	562.25	
	213	1500.5	562.25	
	214	1500.5	562.25	
	215	1500.5	562.25	
	216	1500.5	562.25	
	217	1500.5	562.25	
	218	1500.5	562.25	
	219	1500.48	562.25	
	220	1500.43	562.254	
	221	1500.39	562.238	
	222	1500.37	562.172	
	223	1500.32	562.051	
	224	1500.29	561.945	
	225	1500.25	561.871	
	226	1500.25	561.828	
	227	1500.24	561.797	
	228	1500.21	561.773	
	229	1500.21	561.758	
	230	1500.2	561.75	
	231	1500.19	561.746	
	232	1500.18	561.734	
	233	1500.18	561.727	
	234	1500.16	561.727	
	235	1500.16	561.711	
	236	1500.15	561.707	
	237	1500.15	561.703	
	238	1500.15	561.695	
	239	1500.15	561.695	
	240	1500.14	561.695	
	241	1500.14	561.688	
	242	1500.14	561.691	
	243	1500.14	561.691	
	244	1500.13	561.691	
	245	1500.13	561.691	
	246	1500.14	561.688	
	247	1500.14	561.676	
	248	1500.14	561.676	
	249	1500.14	561.676	
	250	1500.13	561.672	
	251	1500.13	561.668	
	252	1500.13	561.664	
	253	1500.13	561.664	
	254	1500.14	561.66	
	255	1500.14	561.66	
	256	1500.13	561.66	
	257	1500.14	561.656	
	258	1500.14	561.656	
	259	1500.14	561.652	
	260	1500.14	561.652	
	261	1500.15	561.641	
	262	1500.15	561.645	
	263	1500.15	561.641	
	264	1500.15	561.641	
	265	1500.14	561.641	
	266	1500.14	561.637	
	267	1500.14	561.633	
	268	1500.14	561.633	
	269	1500.16	561.633	
	270	1500.15	561.633	
	271	1500.15	561.633	
	272	1500.15	561.633	
	273	1500.14	561.625	
	274	1500.14	561.625	
	275	1500.14	561.625	
	276	1500.18	561.609	
	277	1500.18	561.609	
	278	1500.19	561.609	
	279	1500.19	561.613	
	280	1500.19	561.613	
	281	1500.18	561.613	
	282	1500.18	561.613	
	283	1500.18	561.609	
	284	1500.18	561.609	
	285	1500.18	561.609	
	286	1500.2	561.613	
	287	1500.2	561.613	
	288	1500.2	561.613	
	289	1500.2	561.613	
	290	1500.2	561.617	
	291	1500.21	561.609	
	292	1500.22	561.613	
	293	1500.22	561.617	
	294	1500.22	561.617	
	295	1500.22	561.613	
	296	1500.23	561.613	
	297	1500.23	561.613	
	298	1500.43	561.598	
	299	1500.63	561.598	
	300	1500.73	561.609	
	301	1500.76	561.629	
	302	1500.83	561.66	
	303	1500.97	561.688	
