Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	280	860	531.938	
	281	860.031	531.938	
	282	860	531.574	
	283	860.137	531.109	
	284	860.063	531.047	
	285	860.047	530.844	
	286	860.078	530.426	
	287	860.063	530.184	
	288	859.988	530.004	
	289	860.023	529.676	
	290	860.063	529.352	
	291	860.074	529.191	
	292	859.914	528.984	
	293	860.031	528.742	
	294	860.074	528.469	
	295	859.902	528.359	
	296	859.727	528.379	
	297	858.863	526.855	
	298	858.621	526.52	
	299	858.238	526.324	
	300	858.926	526.051	
	301	858.988	525.945	
	302	859.23	525.402	
	303	859.18	525.23	
	304	859.145	525.16	
	305	858.848	524.844	
	306	858.902	524.52	
	307	858.52	524.363	
	308	856.52	524.68	
	309	855.52	525.441	
	310	854.777	525.504	
	311	854.504	525.512	
	312	854.035	525.285	
	313	853.879	525.125	
	314	854.148	524.828	
	315	853.898	524.777	
	316	852.879	524.957	
	317	851.879	525.035	
	318	851.008	525.035	
	319	859.879	518.563	
	320	859.688	518.113	
	321	859.949	517.625	
	322	859.836	517.352	
	323	860.254	516.844	
	324	859.992	516.656	
	325	859.285	516.699	
	326	858.414	516.785	
	327	858.254	516.785	
	328	857.254	516.883	
	329	856.766	516.695	
	330	856.563	516.57	
	331	856.477	516.457	
	332	856.629	516.273	
	333	855.629	516.578	
	334	855.629	516.543	
	335	856.766	516.176	
	336	862.504	513.969	
	337	862.578	513.902	
	338	862.879	514.008	
	339	863.051	514.199	
	340	862.879	514.473	
	341	862.961	514.496	
	342	863.098	514.492	
	343	863.246	514.496	
	344	863.703	514.609	
	345	864.48	514.605	
	346	864.836	514.43	
	347	865.785	514.227	
	348	864.855	514.938	
	349	864.789	515.086	
	350	872.855	513.105	
	351	878.617	513.965	
	352	881.855	514.184	
	353	882.855	514.242	
	354	880.855	514.145	
	355	863.82	518.141	
	356	863.813	518.254	
	357	863.824	518.523	
	358	863.883	518.844	
	359	864.078	519.086	
	360	864.195	519.277	
	361	864.156	519.543	
	362	864.195	519.707	
	363	864.293	519.766	
	364	864.168	519.832	
	365	864.668	520.047	
	366	864.531	520.199	
	367	864.668	520.289	
	368	864.895	520.426	
	369	865.512	520.832	
	370	865.734	520.895	
	371	866.469	520.898	
	372	866.695	520.352	
	373	866.816	520.266	
	374	866.797	520.184	
	375	866.816	520.078	
	376	866.797	519.227	
	377	865.668	519.102	
	378	860.668	520.211	
	379	859.707	520.293	
	380	858.699	520.258	
	381	856.508	521.102	
	382	855.25	521.215	
	383	862.746	521.922	
	384	863.48	522.789	
	385	862.949	522.84	
	386	857.645	525.133	
	387	855.77	524.918	
	388	854.102	524.961	
	389	863.082	523.348	
	390	862.914	523.465	
	391	861.352	523.516	
	392	856.91	523.715	
	393	854.082	523.813	
	394	850	523.902	
	395	859.68	526.047	
	396	860.664	525.746	
	397	863.34	526.141	
	398	862.734	524.875	
	399	862.598	524.945	
	400	862.566	525.133	
	401	862.539	525.238	
	402	862.516	525.281	
	403	862.473	525.387	
	404	862.398	525.594	
	405	862.355	525.813	
	406	862.332	526.047	
	407	862.352	526.195	
	408	862.324	526.238	
	409	862.242	526.297	
	410	862.238	526.461	
	411	862.203	526.703	
	412	862.176	526.938	
	413	862.195	527.137	
	414	862.199	527.219	
	415	862.203	527.266	
	416	862.219	527.426	
	417	862.242	527.645	
	418	862.074	527.801	
	419	862.023	527.965	
	420	861.977	528.027	
	421	861.938	528.082	
	422	861.934	528.203	
	423	861.914	528.508	
	424	861.945	528.82	
	425	862.313	528.977	
	426	862.375	529.039	
	427	862.43	529.066	
	428	862.473	529.137	
	429	862.512	529.34	
	430	862.523	529.691	
	431	862.559	529.922	
	432	862.617	530.031	
	433	862.766	530.07	
	434	863	530.086	
	435	863.324	530.113	
	436	863.457	530.156	
	437	863.547	530.203	
	438	863.609	530.305	
	439	863.742	530.41	
	440	863.969	530.656	
	441	864.313	530.703	
	442	864.484	530.734	
	443	864.598	530.758	
	444	864.668	530.777	
	445	864.832	530.789	
	446	865.219	530.785	
	447	865.402	530.781	
	448	865.547	530.758	
	449	865.637	530.723	
	450	865.871	530.34	
	451	866.363	530.172	
	452	866.555	529.93	
	453	866.656	529.84	
	454	866.941	529.305	
	455	867.059	529.125	
	456	867.141	528.879	
	457	867.195	528.25	
	458	867.059	528.164	
	459	866.891	527.637	
	460	866.824	527.152	
	461	866.824	527.039	
	462	866.699	526.336	
	463	866.699	526.176	
	464	866.703	525.773	
	465	866.438	525.242	
	466	866.234	525.277	
	467	866.301	525.176	
	468	867.109	525.191	
	469	867.965	525.254	
	470	867.84	524.859	
	471	867.734	524.508	
	472	867.516	524.363	
	473	867.262	523.832	
	474	867.105	523.547	
	475	870.473	524.758	
	476	871.176	524.598	
	477	871.18	524.559	
	478	871.035	524.539	
	479	870.637	524.586	
	480	863.613	519.645	
	481	863.438	519.102	
	482	863.293	518.695	
	483	863.238	518.516	
	484	863.223	517.961	
	485	863.086	517.672	
	486	863.031	517.41	
	487	862.988	516.863	
	488	862.988	516.668	
	489	863.043	516.27	
	490	861.836	515.199	
	491	861.691	514.832	
	492	861.637	514.23	
	493	861.801	513.926	
	494	861.922	513.473	
	495	862.094	513.129	
	496	862.363	512.805	
	497	862.438	512.285	
	498	862.453	512.008	
	499	862.551	511.809	
	500	862.59	511.395	
	501	863.227	511.055	
	502	863.199	510.906	
	503	863.586	510.863	
	504	863.844	510.699	
	505	864.086	510.5	
	506	864.383	510.363	
	507	864.523	510.254	
	508	864.898	510.184	
	509	865.324	510	
	510	865.285	509.82	
	511	865.477	509.777	
	512	865.684	509.719	
	513	865.754	509.691	
	514	865.781	509.672	
	515	865.781	509.648	
	516	865.785	509.605	
	517	865.699	509.57	
	518	865.699	509.551	
	519	865.699	509.559	
	520	865.699	509.527	
	521	865.699	509.523	
	522	865.707	510.328	
	523	865.699	511.219	
	524	865.699	511.688	
	525	865.699	512.348	
	526	865.719	513.129	
	527	865.785	514.078	
	528	865.785	514.684	
	529	865.797	515.473	
	530	865.738	516.379	
	531	860.633	517.492	
	532	860.633	518.438	
	533	860.699	519.344	
	534	889.934	522.422	
	535	891.129	523.34	
	536	892.387	524.191	
	537	893.48	525.074	
	538	895.363	525.938	
	539	896.586	526.84	
	540	897.988	527.867	
	541	899.523	528.84	
	542	901.137	529.734	
	543	902.508	530.75	
	544	904.184	531.664	
	545	905.301	532.602	
	546	907.223	533.449	
	547	908.238	534.348	
	548	910.156	535.23	
	549	911.238	536.141	
	550	913.012	536.977	
	551	914.262	537.883	
	552	915.84	538.809	
	553	917.172	539.738	
	554	918.602	540.73	
	555	920.086	541.652	
	556	921.258	542.621	
	557	922.984	543.512	
	558	924.102	544.055	
	559	925.668	544.965	
	560	927.063	545.961	
	561	928.395	546.758	
	562	923.238	547.785	
	563	923.605	547.027	
	564	924.379	547.723	
	565	924.465	547.75	
	566	925.359	547.039	
	567	924.434	547.773	
	568	924.391	547.809	
	569	935.109	549.352	
	570	935.789	549.336	
	571	936.148	549.434	
	572	936.969	549.586	
	573	937.746	549.711	
	574	938.148	549.82	
	575	938.973	549.922	
	576	939.785	550.035	
	577	940.262	550.105	
	578	940.992	550.176	
	579	941.828	550.285	
	580	942.34	550.328	
	581	942.984	550.395	
	582	943.91	550.441	
	583	944.441	550.465	
	584	945	550.504	
	585	945.973	550.516	
	586	946.633	550.5	
	587	947.082	550.488	
	588	947.984	550.465	
	589	948.816	550.398	
	590	949.227	550.32	
	591	950.02	550.242	
	592	950.891	550.152	
	593	951.32	550.012	
	594	951.984	549.871	
	595	952.957	549.766	
	596	953.426	549.676	
	597	953.984	549.613	
	598	955.027	549.891	
	599	956.125	550.316	
	600	957.262	550.797	
	601	958.359	551.102	
	602	959.484	551.691	
	603	960.359	551.922	
	604	961.234	552.188	
	605	962.352	552.582	
	606	963.375	552.914	
	607	964.402	553.281	
	608	965.277	553.473	
	609	966.375	553.824	
	610	967.418	554.078	
	611	968.465	554.402	
	612	969.777	554.719	
	613	970.777	554.91	
	614	971.68	555.004	
	615	972.777	555.453	
	616	973.777	555.617	
	617	974.613	555.531	
	618	975.703	555.668	
	619	976.613	555.617	
	620	977.688	555.676	
	621	978.785	555.715	
	622	979.902	555.734	
	623	981.008	555.719	
	624	982.078	555.66	
	625	983.129	555.355	
	626	984.145	555.098	
	627	985.504	555	
	628	986.477	554.688	
	629	987.527	554.266	
	630	988.633	553.816	
	631	989.891	553.367	
	632	990.055	552.98	
	633	990.441	552.742	
	634	990.602	552.457	
	635	990.91	552.176	
	636	991.621	551.984	
	637	991.941	551.879	
	638	992.574	551.848	
	639	992.762	551.848	
	640	992.504	552.102	
	641	990.816	552.059	
	642	989.633	551.934	
	643	988.102	551.309	
	644	986.973	551.117	
	645	985.617	550.27	
	646	984.012	549.363	
	647	982.813	548.953	
	648	981.563	548.266	
	649	979.992	547.344	
	650	978.762	546.426	
	651	979.59	547.992	
	652	980.148	548.93	
	653	980.816	549.563	
	654	981.816	550.406	
	655	982.699	550.926	
	656	983.816	551.426	
	657	984.918	551.844	
	658	986.121	552.086	
	659	987.516	552.195	
	660	988.539	552.25	
	661	989.891	552.395	
	662	991.391	552.449	
	663	984.891	551.863	
	664	981.891	551.355	
	665	978.891	550.832	
	666	983.891	551.793	
	667	979.891	551.758	
	668	982.266	552.539	
	669	983.008	553.555	
	670	982.266	554.172	
	671	981.266	554.543	
	672	982.395	555.145	
	673	982.043	555.477	
	674	981.766	556.094	
	675	992.891	555.387	
	676	991.07	555.816	
	677	989.551	556.348	
	678	987.988	556.84	
	679	986.348	557.414	
	680	984.918	557.875	
	681	983.18	558.465	
	682	981.844	558.914	
	683	980.113	559.465	
	684	978.629	559.91	
	685	977.035	560.504	
	686	975.438	560.93	
	687	973.945	561.563	
	688	972.16	562.02	
	689	970.961	562.773	
	690	969.277	563.559	
	691	967.977	563.863	
	692	966.199	564.523	
	693	964.574	564.859	
	694	963.172	565.406	
	695	962.043	565.773	
	696	960.164	566.316	
	697	965.266	568.941	
	698	957.113	567.156	
	699	965.266	569.824	
	700	967.27	569.855	
	701	976.766	571.672	
	702	976.512	572.605	
	703	973.266	572.824	
	704	948.266	570.813	
	705	946.813	571.086	
	706	945.301	571.664	
	707	943.676	572.145	
	708	942.344	572.82	
	709	940.57	573.238	
	710	938.848	573.949	
	711	937.418	574.277	
	712	935.93	574.953	
	713	934.145	575.18	
	714	932.75	575.727	
	715	931.043	576.199	
	716	929.469	576.719	
	717	927.996	577.188	
	718	926.305	577.676	
	719	925	578.168	
	720	923.48	578.641	
	721	922.336	579.195	
	722	921.586	579.602	
	723	919.906	579.688	
	724	918.711	579.68	
	725	921.785	577.547	
	726	920.742	578.41	
	727	920.711	578.609	
	728	920.078	579.063	
	729	920.117	579.559	
	730	907.551	583.625	
	731	906.02	583.988	
	732	904.82	584.52	
	733	903.758	585.035	
	734	902.301	585.531	
	735	901.074	585.891	
	736	900.051	586.344	
	737	899.02	586.574	
	738	897.453	586.934	
	739	896.18	587.391	
	740	894.402	587.91	
	741	892.496	588.375	
	742	891.039	588.895	
	743	887.078	591.418	
	744	885.293	591.867	
	745	883.965	592.246	
	746	882.668	592.219	
	747	881.059	592.672	
	748	879.797	593.156	
	749	878.887	593.313	
	750	877.789	593.52	
	751	874.129	593.852	
	752	872.504	593.988	
	753	871.883	593.992	
