Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	280	727	634
	281	726.871	634
	282	726.871	634
	283	726.871	634
	284	726.871	634
	285	726.867	634
	286	726.871	634
	287	726.867	634
	288	726.867	634
	289	726.867	634
	290	726.867	634
	291	726.863	634
	292	726.863	634
	293	726.863	634
	294	726.867	634
	295	726.867	634
	296	726.867	634
	297	726.871	634
	298	726.871	634
	299	726.875	633.996
	300	726.875	633.984
	301	726.875	633.98
	302	726.875	633.969
	303	726.875	633.953
	304	726.875	633.953
	305	726.875	633.945
	306	726.875	633.949
	307	726.875	633.945
	308	726.875	633.93
	309	726.875	633.926
	310	726.875	633.926
	311	726.75	633.93
	312	726.75	633.93
	313	726.75	633.93
	314	726.75	633.926
	315	726.75	633.918
	316	726.75	633.918
	317	726.75	633.914
	318	726.75	633.91
	319	726.75	633.91
	320	726.75	633.906
	321	726.75	633.902
	322	726.75	633.902
	323	726.75	633.902
	324	726.75	633.898
	325	726.75	633.895
	326	726.75	633.895
	327	726.75	633.891
	328	726.75	633.895
	329	726.75	633.895
	330	726.75	633.891
	331	726.75	633.887
	332	726.75	633.883
	333	726.75	633.883
	334	726.75	633.879
	335	726.75	633.879
	336	726.75	633.871
	337	726.75	633.867
	338	726.75	633.867
	339	726.75	633.863
	340	726.75	633.863
	341	726.75	633.863
	342	726.75	633.863
	343	726.75	633.863
	344	726.75	633.863
	345	726.75	633.863
	346	726.75	633.867
	347	726.75	633.867
	348	726.75	633.863
	349	726.75	633.863
	350	726.75	633.867
	351	726.75	633.871
	352	726.75	633.871
	353	726.75	633.871
	354	726.75	633.875
	355	726.75	633.871
	356	726.75	633.875
	357	726.75	633.875
	358	726.75	633.875
	359	726.75	633.875
	360	726.75	633.879
	361	726.75	633.875
	362	726.75	633.875
	363	726.75	633.879
	364	726.75	633.879
	365	726.75	633.883
	366	726.75	633.879
	367	726.75	633.875
	368	726.75	633.871
	369	726.75	633.875
	370	726.75	633.879
	371	726.75	633.875
	372	726.75	633.875
	373	726.75	633.879
	374	726.75	633.875
	375	726.75	633.879
	376	726.75	633.875
	377	726.75	633.879
	378	726.75	633.875
	379	726.75	633.879
	380	726.75	633.875
	381	726.75	633.879
	382	726.75	633.879
	383	726.75	633.879
	384	726.75	633.883
	385	726.75	633.883
	386	726.75	633.883
	387	726.754	633.883
	388	726.75	633.887
	389	726.75	633.887
	390	726.75	633.887
	391	726.75	633.887
	392	726.754	633.887
	393	726.754	633.887
	394	726.754	633.887
	395	726.754	633.887
	396	726.754	633.887
	397	726.754	633.887
	398	726.754	633.887
	399	726.754	633.891
	400	726.758	633.891
	401	726.758	633.891
	402	726.754	633.891
	403	726.754	633.891
	404	726.758	633.891
	405	726.758	633.891
	406	726.758	633.891
	407	726.758	633.891
	408	726.758	633.891
	409	726.758	633.895
	410	726.758	633.895
	411	726.758	633.895
	412	726.758	633.895
	413	726.758	633.895
	414	726.758	633.895
	415	726.758	633.895
	4152	726.758	633.895
	4153	726.633	633.906
	4154	726.633	633.914
	4155	726.633	633.918
	4156	726.645	633.938
	4157	726.699	633.953
	4158	726.699	633.938
	4159	726.633	633.938
	4160	726.633	633.949
	4161	726.637	633.953
	4162	726.637	633.945
	4163	726.633	633.945
	4164	726.633	633.941
	4165	726.633	633.938
	4166	726.633	633.934
	4167	726.633	633.945
	4168	726.621	633.965
	4169	726.602	633.977
	4170	726.656	633.957
	4171	726.707	633.949
	4172	726.758	633.941
	4173	726.773	633.949
	4174	726.781	633.957
	4175	726.789	633.949
	4176	726.789	633.949
	4177	726.797	633.957
	4178	726.801	633.957
	4179	726.801	633.832
	4180	726.922	633.824
	4181	727.27	633.82
	4182	727.73	633.762
	4183	727.914	633.746
	4184	728.168	633.758
	4185	728.715	633.711
	4186	728.957	633.688
	4187	729.133	633.707
	4188	729.758	633.664
	4189	730.008	633.617
	4190	730.145	633.629
	4191	730.789	633.57
	4192	731.047	633.508
	4193	731.156	633.438
	4194	731.512	633.379
	4195	732.004	633.324
	4196	732.105	633.301
	4197	732.375	633.27
	4198	732.938	633.254
	4199	733.063	633.25
	4200	733.254	633.227
	4201	733.848	633.223
	4202	734.035	633.223
	4203	734.164	633.203
	4204	734.766	633.184
	4205	735.012	633.168
	4206	735.121	633.137
	4207	735.453	633.113
	4208	735.98	633.09
	4209	736.082	633.063
	4210	736.336	633.031
	4211	736.934	633.02
	4212	737.066	633.008
	4213	737.246	632.977
	4214	737.883	632.973
	4215	738.047	632.977
	4216	738.164	632.945
	4217	738.824	632.941
	4218	739.031	632.945
	4219	739.133	632.93
	4220	739.438	632.957
	4221	740.035	632.996
	4222	740.121	633.027
	4223	740.352	633.066
	4224	740.973	633.074
	4225	741.086	633.082
	4226	741.227	633.094
	4227	741.848	633.086
	4228	742.016	633.07
	4229	742.098	633.07
	4230	742.441	633.078
	4231	742.941	633.051
	4232	743.035	633.043
	4233	743.328	633.043
	4234	743.875	633.023
	4235	744.004	633.016
	4236	744.211	633.004
	4237	744.809	632.781
	4238	744.98	632.77
	4239	745.094	632.809
	4240	745.488	632.789
	4241	745.945	632.738
	4242	746.039	632.777
	4243	746.41	632.773
	4244	746.93	632.707
	4245	747.039	632.723
	4246	747.355	632.723
	4247	747.918	632.656
	4248	748.055	632.645
	4249	748.277	632.652
	4250	748.887	632.586
	4251	749.051	632.547
	4252	749.215	632.566
	4253	749.871	632.512
	4254	750.055	632.465
	4255	750.176	632.473
	4256	750.84	632.438
	4257	751.059	632.395
	4258	751.168	632.391
	4259	751.465	632.371
	4260	752.055	632.352
	4261	752.133	632.34
	4262	752.371	632.328
	4263	753.02	632.309
	4264	753.121	632.301
	4265	753.277	632.289
	4266	753.949	632.273
	4267	754.09	632.258
	4268	754.195	632.258
	4269	754.867	632.242
	4270	755.063	632.234
	4271	755.133	632.223
	4272	755.438	632.195
	4273	756.016	632.176
	4274	756.094	632.164
	4275	756.332	632.141
	4276	756.957	632.113
	4277	757.066	632.102
