Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	280	1723.94	511	
	281	1724	510.813	
	282	1724	510.809	
	283	1724	510.809	
	284	1724	510.809	
	285	1724	510.809	
	286	1724	510.809	
	287	1724	510.809	
	288	1724	510.809	
	289	1724	510.809	
	290	1724	510.809	
	291	1724	510.809	
	292	1724	510.809	
	293	1724	510.809	
	294	1724.01	510.809	
	295	1724.01	510.813	
	296	1724.01	510.809	
	297	1724.01	510.809	
	298	1724.02	510.809	
	299	1724.02	510.809	
	300	1724.02	510.809	
	301	1724.03	510.813	
	302	1724.02	510.813	
	303	1724.03	510.813	
	304	1724.03	510.813	
	305	1724.02	510.809	
	306	1724.02	510.809	
	307	1724.02	510.809	
	308	1724.03	510.809	
	309	1724.03	510.809	
	310	1724.03	510.813	
	311	1724.03	510.809	
	312	1724.03	510.809	
	313	1724.03	510.809	
	314	1724.03	510.809	
	315	1724.03	510.809	
	316	1724.04	510.809	
	317	1724.04	510.809	
	318	1724.04	510.809	
	319	1724.04	510.809	
	320	1724.05	510.809	
	321	1724.05	510.809	
	322	1724.05	510.813	
	323	1724.05	510.809	
	324	1724.05	510.809	
	325	1724.05	510.809	
	326	1724.05	510.813	
	327	1724.05	510.813	
	328	1724.05	510.813	
	329	1724.05	510.813	
	330	1724.05	510.813	
	331	1724.05	510.816	
	332	1724.05	510.816	
	333	1724.05	510.816	
	334	1724.06	510.816	
	335	1724.06	510.816	
	336	1724.06	510.816	
	337	1724.06	510.816	
	338	1724.07	510.813	
	339	1724.06	510.813	
	340	1724.07	510.816	
	341	1724.07	510.816	
	342	1724.07	510.813	
	343	1724.07	510.813	
	344	1724.08	510.813	
	345	1724.08	510.813	
	346	1724.08	510.816	
	347	1724.08	510.816	
	348	1724.08	510.813	
	349	1724.08	510.816	
	350	1724.08	510.816	
	351	1724.09	510.813	
	352	1724.09	510.813	
	353	1724.09	510.816	
	354	1724.09	510.813	
	355	1724.09	510.816	
	356	1724.09	510.816	
	357	1724.09	510.816	
	358	1724.09	510.816	
	359	1724.09	510.816	
	360	1724.1	510.816	
	361	1724.1	510.816	
	362	1724.1	510.816	
	363	1724.09	510.813	
	364	1724.1	510.813	
	365	1724.1	510.813	
	366	1724.1	510.816	
	367	1724.1	510.816	
	368	1724.11	510.816	
	369	1724.11	510.813	
	370	1724.11	510.813	
	371	1724.11	510.813	
	372	1724.11	510.813	
	373	1724.11	510.813	
	374	1724.11	510.813	
	375	1724.11	510.813	
	376	1724.11	510.813	
	377	1724.11	510.813	
	378	1724.11	510.813	
	379	1724.11	510.813	
	380	1724.11	510.813	
	381	1724.11	510.813	
	382	1724.11	510.813	
	383	1724.11	510.813	
	384	1724.11	510.813	
	385	1724.12	510.813	
	386	1724.11	510.816	
	387	1724.11	510.816	
	388	1724.12	510.816	
	389	1724.12	510.816	
	390	1724.12	510.82	
	391	1724.12	510.82	
	392	1724.12	510.824	
	393	1724.12	510.824	
	394	1724.12	510.824	
	395	1724.12	510.824	
	396	1724.12	510.824	
	397	1724.12	510.824	
	398	1724.12	510.828	
	399	1724.12	510.828	
	400	1724.12	510.824	
	401	1724.12	510.824	
	402	1724.12	510.824	
	403	1724.12	510.824	
	404	1724.12	510.824	
	405	1724.12	510.824	
	406	1724.12	510.82	
	407	1724.12	510.816	
	408	1724.11	510.813	
	409	1724.11	510.813	
	410	1724.11	510.813	
	411	1724.12	510.813	
	412	1724.12	510.813	
	413	1724.12	510.813	
	414	1724.12	510.813	
	415	1724.12	510.813	
	416	1724.12	510.813	
	417	1724.12	510.813	
	418	1724.11	510.813	
	419	1724.11	510.813	
	420	1724.11	510.813	
	421	1724.11	510.813	
	422	1724.11	510.813	
	423	1724.1	510.813	
	424	1724.1	510.813	
	425	1724.1	510.813	
	426	1724.1	510.816	
	427	1724.1	510.816	
	428	1724.1	510.816	
	429	1724.1	510.816	
	430	1724.1	510.82	
	431	1724.1	510.82	
	432	1724.1	510.82	
	433	1724.1	510.82	
	434	1724.1	510.82	
	435	1724.1	510.824	
	436	1724.09	510.824	
	437	1724.09	510.824	
	438	1724.09	510.824	
	439	1724.1	510.824	
	440	1724.1	510.824	
	441	1724.1	510.824	
	442	1724.1	510.824	
	443	1724.1	510.824	
	444	1724.1	510.824	
	445	1724.1	510.824	
	446	1724.1	510.824	
	447	1724.1	510.824	
	448	1724.1	510.824	
	449	1724.1	510.824	
	450	1724.1	510.824	
	451	1724.1	510.824	
	452	1724.1	510.824	
	453	1724.1	510.824	
	454	1724.1	510.824	
	455	1724.1	510.824	
	456	1724.1	510.824	
	457	1724.1	510.824	
	458	1724.1	510.824	
	459	1724.1	510.824	
	460	1724.1	510.824	
	461	1724.1	510.824	
	462	1724.1	510.824	
	463	1724.1	510.824	
	464	1724.1	510.824	
	465	1724.1	510.824	
	466	1724.1	510.824	
	467	1724.1	510.824	
	468	1724.1	510.824	
	469	1724.1	510.824	
	470	1724.1	510.824	
	471	1724.11	510.824	
	472	1724.1	510.824	
	473	1724.1	510.824	
	474	1724.1	510.824	
	475	1724.1	510.824	
	476	1724.1	510.824	
	477	1724.1	510.824	
	478	1724.1	510.824	
	479	1724.1	510.824	
	480	1724.1	510.824	
	481	1724.1	510.824	
	482	1724.1	510.824	
	483	1724.1	510.824	
	484	1724.1	510.824	
	485	1724.1	510.824	
	486	1724.1	510.824	
	487	1724.1	510.824	
	488	1724.1	510.824	
	489	1724.1	510.824	
	490	1724.1	510.824	
	491	1724.1	510.824	
	492	1724.1	510.824	
	493	1724.1	510.824	
	494	1724.1	510.82	
	495	1724.11	510.82	
	496	1724.11	510.82	
	497	1724.11	510.82	
	498	1724.11	510.82	
	499	1724.1	510.82	
	500	1724.11	510.82	
	501	1724.11	510.82	
	502	1724.11	510.82	
	503	1724.11	510.82	
	504	1724.1	510.82	
	505	1724.1	510.82	
	506	1724.1	510.82	
	507	1724.1	510.82	
	508	1724.11	510.82	
	509	1724.11	510.82	
	510	1724.11	510.82	
	511	1724.11	510.82	
	512	1724.11	510.82	
	513	1724.11	510.82	
	514	1724.11	510.82	
	515	1724.11	510.82	
	516	1724.11	510.82	
	517	1724.11	510.82	
	518	1724.11	510.82	
	519	1724.11	510.82	
	520	1724.11	510.82	
	521	1724.11	510.82	
	522	1724.11	510.82	
	523	1724.11	510.82	
	524	1724.11	510.82	
	525	1724.11	510.82	
	526	1724.11	510.82	
	527	1724.11	510.82	
	528	1724.11	510.82	
	529	1724.11	510.82	
	530	1724.11	510.82	
	531	1724.11	510.82	
	532	1724.11	510.82	
	533	1724.11	510.82	
	534	1724.11	510.82	
	535	1724.11	510.82	
	536	1724.11	510.82	
	537	1724.11	510.816	
	538	1724.11	510.816	
	539	1724.11	510.816	
	540	1724.11	510.816	
	541	1724.11	510.816	
	542	1724.11	510.816	
	543	1724.11	510.816	
	544	1724.12	510.816	
	545	1724.12	510.816	
	546	1724.12	510.816	
	547	1724.12	510.816	
	548	1724.12	510.816	
	549	1724.12	510.816	
	550	1724.12	510.816	
	551	1724.12	510.816	
	552	1724.12	510.816	
	553	1724.11	510.816	
	554	1724.12	510.816	
	555	1724.12	510.816	
	556	1724.12	510.816	
	557	1724.12	510.813	
	558	1724.12	510.813	
	559	1724.12	510.813	
	560	1724.12	510.813	
	561	1724.12	510.813	
	562	1724.12	510.813	
	563	1724.12	510.813	
	564	1724.12	510.813	
	565	1724.12	510.813	
	566	1724.12	510.813	
	567	1724.12	510.813	
	568	1724.12	510.813	
	569	1724.12	510.813	
	570	1724.12	510.813	
	571	1724.12	510.813	
	572	1724.12	510.813	
	573	1724.12	510.813	
	574	1724.12	510.813	
	575	1724.12	510.813	
	576	1724.12	510.813	
	577	1724.13	510.813	
	578	1724.13	510.813	
	579	1724.13	510.813	
	580	1724.13	510.813	
	581	1724.13	510.813	
	582	1724.12	510.813	
	583	1724.12	510.813	
	584	1724.12	510.813	
	585	1724.12	510.813	
	586	1724.12	510.813	
	587	1724.12	510.813	
	588	1724.12	510.813	
	589	1724.12	510.813	
	590	1724.13	510.813	
	591	1724.13	510.813	
	592	1724.13	510.813	
	593	1724.13	510.813	
	594	1724.12	510.813	
	595	1724.13	510.816	
	596	1724.13	510.816	
	597	1724.13	510.816	
	598	1724.13	510.816	
	599	1724.13	510.813	
	600	1724.13	510.813	
	601	1724.13	510.813	
	602	1724.13	510.813	
	603	1724.13	510.813	
	604	1724.13	510.813	
	605	1724.13	510.813	
	606	1724.13	510.813	
	607	1724.13	510.813	
	608	1724.13	510.813	
	609	1724.13	510.813	
	610	1724.13	510.813	
	611	1724.13	510.813	
	612	1724.13	510.813	
	613	1724.13	510.813	
	614	1724.13	510.813	
	615	1724.13	510.813	
	616	1724.13	510.813	
	617	1724.13	510.813	
	618	1724.13	510.813	
	619	1724.13	510.813	
	620	1724.13	510.813	
	621	1724.13	510.813	
	622	1724.13	510.813	
	623	1724.13	510.813	
	624	1724.13	510.813	
	625	1724.13	510.813	
	626	1724.13	510.813	
	627	1724.13	510.813	
	628	1724.13	510.813	
	629	1724.13	510.813	
	630	1724.13	510.813	
	631	1724.13	510.813	
	632	1724.14	510.813	
	633	1724.13	510.813	
	634	1724.13	510.813	
	635	1724.13	510.813	
	636	1724.13	510.813	
	637	1724.13	510.813	
	638	1724.13	510.813	
	639	1724.13	510.813	
	640	1724.13	510.813	
	641	1724.13	510.813	
	642	1724.13	510.813	
	643	1724.13	510.813	
	644	1724.14	510.813	
	645	1724.14	510.813	
	646	1724.14	510.813	
	647	1724.14	510.813	
	648	1724.14	510.813	
	649	1724.14	510.813	
	650	1724.14	510.813	
	651	1724.14	510.813	
	652	1724.14	510.813	
	653	1724.14	510.813	
	654	1724.14	510.813	
	655	1724.14	510.813	
	656	1724.14	510.813	
	657	1724.14	510.813	
	658	1724.14	510.813	
	659	1724.14	510.813	
	660	1724.15	510.813	
	661	1724.16	510.813	
	662	1724.16	510.813	
	663	1724.16	510.813	
	664	1724.17	510.813	
	665	1724.18	510.813	
	666	1724.17	510.813	
	667	1724.17	510.813	
	668	1724.16	510.813	
	669	1724.16	510.813	
	670	1724.16	510.813	
	671	1724.16	510.813	
	672	1724.16	510.813	
	673	1724.17	510.813	
	674	1724.17	510.813	
	675	1724.16	510.813	
	676	1724.16	510.813	
	677	1724.16	510.813	
	678	1724.16	510.813	
	679	1724.16	510.813	
	680	1724.16	510.813	
	681	1724.16	510.813	
	682	1724.16	510.813	
	683	1724.16	510.813	
	684	1724.14	510.813	
	685	1724.14	510.813	
	686	1724.14	510.813	
	687	1724.13	510.813	
	688	1724.13	510.813	
	689	1724.14	510.813	
	690	1724.14	510.813	
	691	1724.16	510.813	
	692	1724.16	510.813	
	693	1724.17	510.813	
	694	1724.17	510.813	
	695	1724.17	510.813	
	696	1724.17	510.813	
	697	1724.17	510.813	
	698	1724.17	510.813	
	699	1724.17	510.813	
	700	1724.17	510.813	
	701	1724.17	510.813	
	702	1724.18	510.813	
	703	1724.18	510.813	
	704	1724.18	510.813	
	705	1724.17	510.813	
	706	1724.17	510.813	
	707	1724.17	510.813	
	708	1724.17	510.813	
	709	1724.17	510.813	
	710	1724.17	510.813	
	711	1724.16	510.813	
	712	1724.16	510.813	
	713	1724.16	510.813	
	714	1724.16	510.813	
	715	1724.17	510.813	
	716	1724.17	510.813	
	717	1724.17	510.813	
	718	1724.17	510.813	
	719	1724.17	510.813	
	720	1724.17	510.813	
	721	1724.17	510.813	
	722	1724.17	510.813	
	723	1724.18	510.813	
	724	1724.18	510.813	
	725	1724.2	510.813	
	726	1724.19	510.813	
	727	1724.19	510.813	
	728	1724.19	510.813	
	729	1724.19	510.813	
	730	1724.2	510.813	
	731	1724.2	510.813	
	732	1724.2	510.813	
	733	1724.19	510.813	
	734	1724.19	510.813	
	735	1724.18	510.813	
	736	1724.18	510.813	
	737	1724.17	510.813	
	738	1724.17	510.813	
	739	1724.16	510.813	
	740	1724.17	510.813	
	741	1724.18	510.813	
	742	1724.17	510.813	
	743	1724.18	510.813	
	744	1724.18	510.813	
	745	1724.18	510.813	
	746	1724.18	510.813	
	747	1724.18	510.813	
	748	1724.18	510.813	
	749	1724.18	510.813	
	750	1724.18	510.813	
	751	1724.18	510.813	
	752	1724.19	510.813	
	753	1724.18	510.813	
	754	1724.18	510.813	
	755	1724.18	510.813	
	756	1724.19	510.813	
	757	1724.19	510.813	
	758	1724.18	510.813	
	759	1724.18	510.813	
	760	1724.18	510.813	
	761	1724.19	510.813	
	762	1724.19	510.813	
	763	1724.19	510.813	
	764	1724.19	510.813	
	765	1724.19	510.813	
	766	1724.19	510.813	
	767	1724.19	510.813	
	768	1724.19	510.813	
	769	1724.19	510.813	
	770	1724.19	510.813	
	771	1724.2	510.813	
	772	1724.2	510.813	
	773	1724.2	510.813	
	774	1724.2	510.813	
	775	1724.2	510.813	
	776	1724.2	510.813	
	777	1724.2	510.813	
	778	1724.2	510.813	
	779	1724.2	510.813	
	780	1724.2	510.813	
	781	1724.2	510.813	
	782	1724.2	510.813	
	783	1724.2	510.813	
	784	1724.2	510.813	
	785	1724.2	510.813	
	786	1724.21	510.813	
	787	1724.21	510.813	
	788	1724.21	510.813	
	789	1724.21	510.813	
	790	1724.21	510.813	
	791	1724.21	510.813	
	792	1724.21	510.813	
	793	1724.21	510.813	
	794	1724.21	510.813	
	795	1724.21	510.813	
	796	1724.21	510.813	
	797	1724.21	510.813	
	798	1724.21	510.813	
	799	1724.21	510.813	
	800	1724.21	510.813	
	801	1724.22	510.813	
	802	1724.22	510.813	
	803	1724.22	510.813	
	804	1724.22	510.813	
	805	1724.22	510.813	
	806	1724.22	510.813	
	807	1724.22	510.813	
	808	1724.22	510.813	
	809	1724.22	510.813	
	810	1724.22	510.813	
	811	1724.22	510.813	
	812	1724.22	510.813	
	813	1724.22	510.813	
	814	1724.22	510.813	
	815	1724.23	510.813	
	816	1724.22	510.813	
	817	1724.23	510.813	
