Adobe After Effects 8.0 Keyframe Data

	Units Per Second	59.94
	Source Width	7680
	Source Height	3840
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Spider	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	11231	6226.75	1508.25	
	11232	6227	1508.25	
	11233	6227	1508.25	
	11234	6227	1508.25	
	11235	6227	1508.25	
	11236	6227	1508.25	
	11237	6227	1508.25	
	11238	6227	1508.25	
	11239	6227	1508.25	
	11240	6227	1508.25	
	11241	6227	1508.25	
	11242	6227	1508.25	
	11243	6227	1508.25	
	11244	6227	1508.25	
	11245	6227	1508.25	
	11246	6227	1508.25	
	11247	6227	1508.25	
	11248	6227	1508.25	
	11249	6227	1508.25	
	11250	6227	1508.25	
	11251	6227	1508.25	
	11252	6227	1508.25	
	11253	6227	1508.25	
	11254	6227	1508.25	
	11255	6227	1508.25	
	11256	6227	1508.25	
	11257	6227	1508.25	
	11258	6227	1508.25	
	11259	6227	1508.25	
	11260	6227	1508.25	
	11261	6227	1508.25	
	11262	6227	1508.25	
	11263	6227	1508.25	
	11264	6227	1508.25	
	11265	6227	1508.25	
	11266	6227	1508.25	
	11267	6227	1508.25	
	11268	6227	1508.25	
	11269	6227	1508.25	
	11270	6227	1508.25	
	11271	6227	1508.25	
	11272	6227	1508.25	
	11273	6227	1508.25	
	11274	6227	1508.25	
	11275	6227	1508.25	
	11276	6227	1508.25	
	11277	6227	1508.25	
	11278	6227	1508.25	
	11279	6227	1508.25	
	11280	6227	1508.25	
	11281	6227	1508.25	
	11282	6227	1508.25	
	11283	6227	1508.25	
	11284	6227	1508.25	
	11285	6227	1508.25	
	11286	6227	1508.25	
	11287	6227	1508.25	
	11288	6227	1508.25	
	11289	6227	1508.25	
	11290	6227	1508.25	
	11291	6227	1508.25	
	11292	6227	1508.25	
	11293	6226.59	1508.24	
	11294	6224.84	1508.23	
	11295	6221.99	1507.41	
	11296	6223.78	1504.38	
	11297	6227.93	1501.98	
	11298	6233.61	1499.23	
	11299	6239.95	1496.24	
	11300	6247.76	1493.02	
	11301	6256.06	1489.27	
	11302	6265.85	1485.32	
	11303	6276.43	1481.23	
	11304	6287.9	1476.5	
	11305	6300.43	1471.55	
	11306	6313.84	1466.25	
	11307	6327.99	1460.47	
	11308	6343.19	1454.32	
	11309	6359.38	1447.99	
	11310	6376.18	1441.07	
	11311	6393.96	1433.48	
	11312	6412.78	1425.71	
	11313	6431.95	1417.28	
	11314	6452.02	1408.43	
	11315	6472.95	1399.23	
	11316	6494.78	1389.23	
	11317	6516.92	1378.63	
	11318	6539.9	1367.36	
	11319	6563.57	1355.52	
	11320	6587.7	1343.05	
	11321	6612.02	1329.38	
	11322	6637.05	1315.22	
	11323	6662.75	1299.77	
	11324	6688.06	1283.24	
	11325	6713.9	1265.29	
	11326	6739.57	1247.25	
	11327	6764.6	1229.25	
