Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	71	100	
	72	99.9845	
	73	99.9446	
	74	99.927	
	75	99.7216	
	76	99.7692	
	77	99.6776	
	78	99.6931	
	79	99.642	
	80	99.6601	
	81	99.4942	
	82	99.1427	
	83	99.5897	
	84	99.5722	
	85	99.5067	
	86	99.306	
	87	99.3777	
	88	99.3953	
	89	99.1252	
	90	99.3655	
	91	99.226	
	92	99.6438	
	93	99.3565	
	94	99.6688	
	95	99.3134	
	96	99.5667	
	97	99.2887	
	98	99.5422	
	99	99.6324	
	100	99.6861	
	101	99.7803	
	102	99.8052	
	103	99.6005	
	104	99.7315	
	105	99.7053	
	106	99.7166	
	107	99.6641	
	108	99.3731	
	109	99.6566	
	110	99.5041	
	111	99.364	
	112	99.4399	
	113	99.2438	
	114	99.2094	
	115	99.3269	
	116	99.1437	
	117	98.9079	
	118	98.6505	
	119	98.6558	
	120	98.4647	
	121	98.2794	
	122	98.1537	
	123	98.5841	
	124	98.4913	
	125	98.4587	
	126	98.413	
	127	98.4557	
	128	98.5296	
	129	98.5014	
	130	98.2693	
	131	98.1715	
	132	98.0709	
	133	98.1005	
	134	97.7778	
	135	98.0075	
	136	97.7983	
	137	98.1118	
	138	98.0112	
	139	98.0296	
	140	98.0261	
	141	98.2356	
	142	98.4802	
	143	98.4359	
	144	98.4642	
	145	98.4306	
	146	98.6266	
	147	98.4184	
	148	98.4014	
	149	98.6268	
	150	98.1905	
	151	98.3857	
	152	98.2288	
	153	98.3335	
	154	98.3299	
	155	98.3197	
	156	98.0976	
	157	98.0068	
	158	97.9007	
	159	97.3553	
	160	97.4608	
	161	97.2624	
	162	96.9205	
	163	96.3061	
	164	96.135	
	165	95.8655	
	166	95.8836	
	167	96.1281	
	168	95.9915	
	169	95.476	
	170	95.6652	
	171	95.1094	
	172	94.6165	
	173	94.6115	
	174	93.6875	
	175	93.0437	
	176	93.071	
	177	92.3734	
	178	91.9714	
	179	91.2197	
	180	94.1959	
	181	93.338	
	182	93.3225	
	183	93.3187	
	184	94.171	
	185	93.9817	
	186	93.7397	
	187	93.915	
	188	94.9772	
	189	94.3595	
	190	94.4278	
	191	94.9131	
