---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
0,6.752481,-16.716116,2.6371,-1.44,A0m...,0.009,-0.494323,2.476731,-0.758485,22.824432,Sirius,32349,9Alp CMa,Gl 244A
1,6.399195,-52.69566,94.786697,-0.62,F0Ib,0.164,-5.992679,57.132034,-75.396103,13854.79199,Canopus,30438,Alp Car,
5,5.27815,45.99799,13.1234,0.08,M1: comp,0.795,1.712633,8.954439,9.440007,139.315674,Capella,24608,13Alp Aur,Gl 194A
6,5.242298,-8.20164,264.550293,0.18,B8Ia,-0.03,51.601105,256.7099,-37.740051,51665.42578,Rigel,24436,19Bet Ori,
7,7.655033,5.224993,3.5142,0.4,F5IV-V,0.432,-1.469312,3.17617,0.320024,7.440464,Procyon,37279,10Alp CMi,Gl 280A
8,1.628556,-57.236755,42.7533,0.45,B3Vp,-0.158,21.065573,9.568417,-35.951965,1051.961914,Achernar,7588,Alp Eri,
9,5.919529,7.407063,152.671799,0.45,M2Ib,1.5,3.189296,151.36438,19.682142,90000,Betelgeuse,27989,58Alp Ori,
13,4.598677,16.5093,20.433201,0.87,K5III,1.538,7.02722,18.287603,5.806661,163.230011,Aldebaran,21421,87Alp Tau,Gl 171.1A
14,5.277926,46.000843,12.9383,0.96,G0 III,0,1.689045,8.828648,9.308413,60.200485,Gliese 194B,0,,Gl 194B
17,7.755277,28.026199,10.3584,1.16,K0IIIvar,0.991,-4.055465,8.19518,4.867171,32.092239,Pollux,37826,78Bet Gem,Gl 286
22,10.139532,11.967207,24.3132,1.36,B7V,-0.087,-21.018856,11.132218,5.041397,147.095703,Regulus,49669,32Alp Leo,
23,6.977097,-28.972084,124.223602,1.5,B2II,-0.211,-27.497988,105.141609,-60.17197,3375.980957,Adhara,33579,21Eps CMa,
24,7.576634,31.888275,15.5958,1.58,A2Vm,0.034,-5.311938,12.130011,8.238737,49.431068,Castor,36850,66Alp Gem,Gl 278A
27,5.418851,6.349702,77.399399,1.64,B2III,-0.224,11.658576,76.036133,8.56012,1152.391357,Bellatrix,25336,24Gam Ori,
28,5.438198,28.60745,41.0509,1.65,B7III,-0.13,5.281578,35.650398,19.655457,321.218079,Alnath,25428,112Bet Tau,
29,9.220041,-69.717209,34.698101,1.67,A2IV,0.07,-8.980712,8.001552,-32.546535,225.320129,Miaplacidus,45238,Bet Car,
30,5.603559,-1.20192,606.060608,1.69,B0Ia,-0.184,62.775124,602.666931,-12.712683,67483.875,Alnilam,26311,46Eps Ori,
32,5.679313,-1.942572,225.733597,1.74,O9.5Ib SB,-0.199,18.918488,224.809402,-7.651875,8937.169922,Alnitak,26727,50Zet Ori,
33,8.158876,-47.33659,342.46579,1.75,O9I + WC8,-0.145,-124.300148,195.993256,-251.831604,20379.80469,Gamma Velorum,39953,Gam2Vel,
35,3.405378,49.861179,155.279495,1.79,F5Ib,0.481,62.885098,77.880692,118.708801,4040.17334,Mirphak,15863,33Alp Per,
37,11.062155,61.751034,37.679001,1.81,F7V comp,1.061,-17.298704,4.33488,33.191334,233.34581,Dubhe,54061,50Alp UMa,
38,7.139857,-26.3932,492.610809,1.83,F8Ia,0.671,-129.733459,421.761475,-218.979858,39192.23047,Wezen,34444,25Del CMa,
40,8.375236,-59.509483,185.528793,1.86,K3III+B2V,1.196,-54.837078,76.515236,-159.87262,5405.053711,Avior,41037,Eps Car,
42,5.992149,44.947433,24.8694,1.9,A2V,0.077,0.036195,17.601288,17.569057,93.583656,Menkalinan,28360,34Bet Aur,NN 3375
44,6.628528,16.399252,33.5121,1.93,A0IV,0.001,-5.266162,31.71439,9.461403,165.348404,Alhena,31681,24Gam Gem,
45,8.745059,-54.70882,24.6975,1.93,A1V,0.043,-9.394033,10.739813,-20.158772,89.784218,Delta Velorum,42913,Del Vel,Gl 321.3A
47,2.52975,89.264107,132.626007,1.97,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614914,2495.743896,Polaris,11767,1Alp UMi,
48,6.378329,-17.955917,151.057404,1.98,B1II/III,-0.24,-14.209731,142.996002,-46.568851,3209.223877,Mirzam,30324,2Bet CMa,
49,9.45979,-8.658603,55.279202,1.99,K3III,1.44,-43.003468,33.722847,-8.322089,425.794464,Alphard,46390,30Alp Hya,
50,2.119555,23.462423,20.177601,2.01,K2III,1.151,15.731986,9.751722,8.03361,55.667278,Hamal,9884,13Alp Ari,Gl 84.3
51,10.332873,19.84149,39.888302,2.01,K0III,1.128,-34.002796,15.860719,13.53874,217.570496,Algieba,50583,41Gam1Leo,
52,0.72649,-17.986605,29.5334,2.04,K0III,1.019,27.583637,5.310463,-9.119792,116.091385,Diphda,3419,16Bet Cet,Gl 31
55,0.139791,29.090431,29.7442,2.07,B9p,-0.038,25.974571,0.951042,14.461264,114.49855,Alpheratz,677,21Alp And,
56,1.162194,35.62056,60.5327,2.07,M0IIIvar,1.576,46.946369,14.741814,35.255131,474.241974,Mirach,5447,43Bet And,Gl 53.3
